This file contains coefficients for the current iteration of NEUVAC.
NOTE THAT THIS FILE CONTAINS COEFFICIENTS FOR THE GITM BINS.
This file was created on 2024-08-16T12:14:15
File Authors: Brandt, Daniel A. and Ridley, Aaron J.
This version of NEUVAC was created by fitting nonlinear models between F10.7 and preceding
54-day averaged F10.7 and FISM2 decomposed into 59 wavelength bands conventionally used in
the GITM and Aether models.
The file is formatted as follows:
 - First Column: Lower limit of the given wavelength bin in Angstroms.
 - Second Column: Upper limit of the given wavelength bin in Angstroms.
 - Third through Eighth colummns: Coefficients for the model.
The functional form of the model is given by:
Irr_i(t) = A_i * (F107(t) ** B_i) + C_i * (F107B(t) ** D_i) + E_i * (F107B(t) - F107(t)) + F_i
where the irradiance in bin i (Irr_i) is a function of time t, and A_i through F_i are 
coefficients for bin i, and F107(t) and F107B(t) represent values of the F10.7 and 54-day
averaged F10.7 computed with a backwards-looking window, respectively.
-----------------------------------------------------------------------------------------------
WAVES WAVEL A_i B_i C_i D_i E_i F_i
1.0 2.0 0.47721411533664376 1.0000000000037907 -0.4772141153394725 1.0000000000021565 0.47721411533563757 6.333608920077735e-12
2.0 4.0 0.48836098941539435 1.0000000001087928 -0.488360989507986 1.0000000000459444 0.4883609893804391 -1.7586330872569168e-09
4.0 8.0 0.5111202634763972 1.0000000005515641 -0.5111202554649341 0.9999999999715704 0.5111202532205018 -5.817341118472259e-07
8.0 16.0 0.4621827653634987 0.9999999822526838 -0.46218226871875395 1.0000000134529299 0.46218239353443896 -2.752597913242614e-05
16.0 23.0 0.4462626743474155 0.9999999154682658 -0.4462611124071377 1.000000057643676 0.44626166352348007 -7.947482787308357e-05
23.0 32.0 0.45620533192837576 0.9999999718937913 -0.4562048146679454 1.000000019047182 0.4562050015600244 -2.5213778597881074e-05
32.0 50.0 0.4644363161023933 0.9999999083080258 -0.4644346069088453 1.0000000620643 0.4644352273415887 -7.786844953081815e-05
50.0 100.0 0.2549680079628563 0.9999987944153857 -0.2549595592620197 1.000002252468115 0.2549645597622832 -0.00018471252481415184
100.0 150.0 0.45348244124457454 0.9999997938764931 -0.4534804128939061 1.0000002902680167 0.45348153413925946 -1.0315046406141427e-05
150.0 200.0 0.271434605925693 0.9999982489224197 -0.2714240379064112 1.0000026458681521 0.2714301250840321 -4.546015889614625e-06
200.0 250.0 1.0616007673756533 0.9999995955113516 -1.0615900748790712 1.0000007498204506 1.0615966406138095 -0.00017386798878314783
256.3 256.3 0.43085736314972484 0.9999998791662038 -0.4308560106831067 1.0000002364339833 0.430856832184755 -2.8294538562314717e-06
284.15 284.15 0.48995480377465644 0.99999964592801 -0.4899519265633011 1.0000002876663063 0.4899532041159554 -9.357836704600563e-05
250.0 300.0 0.4304553699766362 0.9999995759951562 -0.4304509877618778 1.0000007346748152 0.4304536029719689 -8.051029577902937e-05
303.31 303.31 0.1987733032642339 0.9999982619507238 -0.1987688132532602 1.0000005649191333 0.19877001440329048 0.0002565401627330287
303.78 303.78 0.4534901569936054 0.9999999961247041 -0.4534901060726519 1.00000000947125 0.4534901371289471 9.711617243891788e-07
300.0 350.0 0.5197869224879756 0.9999997694281156 -0.5197828619120313 1.0000006622993165 0.5197855216971455 -4.2747991876340294e-05
368.07 368.07 0.4559021965551394 0.9999999094838813 -0.45590165378189773 1.0000000340579331 0.4559018311598192 1.8657079802369944e-05
350.0 400.0 0.4043845304462548 0.9999997437307968 -0.40438175856539477 1.0000005376585492 0.40438349215830155 -4.2105077315866556e-05
400.0 450.0 0.4454053402499313 0.9999999359707169 -0.44540473869846714 1.0000000800844748 0.4454050307801824 1.1967133368268309e-05
465.22 465.22 0.45720593850633323 1.0000000001394025 -0.4572059021518297 1.0000000066326005 0.45720591694525387 1.3408251475439882e-05
450.0 500.0 0.5201012990688515 0.9999998501249736 -0.5201002213487346 1.000000068888042 0.5201006126767002 -3.277506462342258e-06
500.0 550.0 0.4593795824294261 0.9999998751564366 -0.45937879175650737 1.0000000560462843 0.45937907355478963 7.378171346363984e-06
554.37 554.37 0.45613514597104404 0.9999999949082208 -0.45613509426459825 1.0000000069635933 0.4561351174514469 2.1465684007524112e-05
584.33 584.33 0.4942131268559827 0.999999913895865 -0.49421264019625094 1.0000000137112424 0.4942127311822161 2.6201183223034156e-05
