This file contains coefficients for the current iteration of NEUVAC.
NOTE THAT THIS FILE CONTAINS COEFFICIENTS FOR THE STAN BANDS.
This file was created on 2024-08-16T12:16:03
File Authors: Brandt, Daniel A. and Ridley, Aaron J.
This version of NEUVAC was created by fitting nonlinear models between F10.7 and preceding
54-day averaged F10.7 and FISM2 decomposed into 23 wavelength bands conventionally used in
numerous atmospheric models, such as SAMI3.
The file is formatted as follows:
 - First Column: Lower limit of the given wavelength bin in Angstroms.
 - Second Column: Upper limit of the given wavelength bin in Angstroms.
 - Third through Eighth colummns: Coefficients for the model.
The functional form of the model is given by:
Irr_i(t) = A_i * (F107(t) ** B_i) + C_i * (F107B(t) ** D_i) + E_i * (F107B(t) - F107(t)) + F_i
where the irradiance in bin i (Irr_i) is a function of time t, and A_i through F_i are 
coefficients for bin i, and F107(t) and F107B(t) represent values of the F10.7 and 54-day
averaged F10.7 computed with a backwards-looking window, respectively.
-----------------------------------------------------------------------------------------------
WAVES WAVEL A_i B_i C_i D_i E_i F_i
0.5 4.0 0.46410911504787955 1.0000000004516167 -0.4641091152249407 1.0000000001529263 0.4641091146087354 -2.4013751069511837e-08
4.0 8.0 0.45686267971573635 1.000000000404983 -0.4568626570693226 1.00000000032978 0.45686265727265135 -1.4412022075601369e-06
8.0 18.0 0.4554240031076406 0.9999999349746606 -0.45542255526132186 1.000000047334434 0.4554230047817055 -7.772766604147686e-05
18.0 32.0 0.4985559847588361 0.9999999146345048 -0.4985542301767004 1.0000000592590417 0.49855486384949466 -8.753056611714073e-05
32.0 70.0 0.3057648531618848 0.9999992845052927 -0.3057585714716219 1.0000009872459994 0.3057616925603052 -0.00019480157225569154
70.0 155.0 0.08426642179782991 0.9999968631245817 -0.08425973427697359 1.0000059807260548 0.08426386814331063 -8.805553030696946e-05
155.0 224.0 0.3688243535066463 0.999997938025662 -0.3688056410478972 1.000003787354964 0.3688171484509055 -0.00019138270573790752
224.0 290.0 0.6953889002514838 0.9999991473990277 -0.6953765979985839 1.000001154785997 0.6953833133082898 -0.00021309237994908645
290.0 320.0 0.376210104997891 0.9999990087723419 -0.37620472653043413 1.0000004984704547 0.3762064226111451 0.00028206969503742895
320.0 540.0 0.34157088822796505 0.9999987935642414 -0.34156205048344024 1.0000017266762755 0.34156691066613504 -4.548807817305322e-05
540.0 650.0 0.4548752077807311 0.9999997575711043 -0.4548731153770618 1.000000275212095 0.45487416949479054 0.0001008150174542897
650.0 798.0 0.45492835036363966 0.9999999490394261 -0.45492781571098057 1.0000000829902393 0.454928116050771 6.474496709165371e-05
650.0 798.0 0.4583837933471779 0.9999999661049808 -0.4583834991045668 1.0000000374684588 0.4583836429984722 3.958941867941848e-05
798.0 913.0 0.4724446917648599 0.9999999088969823 -0.4724438661790587 1.0000001139641281 0.47244429779439406 2.864215763019474e-05
798.0 913.0 0.5349897440246373 0.9999997272953823 -0.5349873770105364 1.0000002299039839 0.534988435078007 9.02757730561659e-05
798.0 913.0 0.40170264662224986 0.9999998451986759 -0.4017015842642785 1.0000001463214543 0.401702079701563 4.751804711591828e-05
913.0 975.0 0.4689037091831501 0.9999999743092032 -0.4689035390312324 1.0000000139887086 0.4689036034733724 1.0190518993417443e-05
913.0 975.0 0.45971439928688107 0.9999999250531905 -0.459713891577836 1.0000000466990826 0.4597141008656006 2.0743094728709734e-05
913.0 975.0 0.4246801747616897 0.9999999284579737 -0.4246797806496045 1.000000028040626 0.42467990872131856 1.6017214770396152e-05
975.0 987.0 0.4613623692103841 0.9999998519286607 -0.46136134281340746 1.0000000974720664 0.46136177780935733 9.188147059680416e-05
987.0 1027.0 0.43693626646257966 0.9999997743704822 -0.4369348612479067 1.0000001268716348 0.4369354123414078 5.5952764107367185e-05
1027.0 1050.0 0.3935782658296064 0.9999997587310167 -0.39357686912871137 1.000000148025858 0.3935774358492553 7.139699655990852e-05
