 Flux weighted photoionization cross sections. Based on Fennelly and Torr, Atomic Data and Nuclear Data Tables, 51,
   321-363, 1992. Units are 1.0E-18 cm-2. BINLO, BINHI = wavelength limits in Angstrom
   BINLO   BINHI   OP4S   OP2D   OP2P   OP2E   OP4E  O+_tot N2_AB   N2+    N2_N+  N2_ION O2_AB  O2+   O2_O+  O2_ION   N+
  430.00  440.00   3.11   5.00   3.04   0.28   0.00  11.43  22.83  21.90   0.93  22.83  20.82  15.98   4.84  20.82   9.88
  440.00  450.00   3.24   5.20   3.12   0.00   0.00  11.55  23.10  22.18   0.92  23.10  21.25  16.45   4.81  21.25  10.16
  450.00  460.00   3.29   5.33   3.21   0.00   0.00  11.88  23.07  22.11   0.96  23.07  21.58  16.70   4.88  21.58  10.40
  460.00  470.00   3.34   5.37   3.22   0.00   0.00  11.93  23.16  22.10   1.06  23.16  21.91  16.97   4.94  21.91  10.58
  470.00  480.00   3.35   5.39   3.24   0.00   0.00  11.98  23.47  22.27   1.20  23.47  22.40  17.25   5.14  22.40  10.74
  480.00  490.00   3.56   5.73   3.44   0.00   0.00  12.73  23.53  22.52   1.02  23.53  22.86  17.58   5.28  22.86  10.93
  490.00  500.00   3.36   5.40   3.24   0.00   0.00  11.99  23.50  23.02   0.48  23.50  23.47  18.01   5.46  23.47  11.16
  500.00  510.00   3.31   5.33   3.19   0.00   0.00  11.84  23.67  23.56   0.10  23.67  23.85  18.33   5.52  23.85  11.29
  510.00  520.00   3.35   5.38   3.23   0.00   0.00  11.96  24.25  24.25   0.00  24.25  24.28  18.81   5.47  24.28  11.43
  520.00  530.00   3.37   5.42   3.25   0.00   0.00  12.04  24.76  24.76   0.00  24.76  24.65  19.41   5.24  24.65  11.54
  530.00  540.00   3.55   5.51   3.18   0.00   0.00  12.24  25.23  25.23   0.00  25.23  25.25  20.50   4.75  25.25  11.67
  540.00  550.00   3.65   5.66   3.27   0.00   0.00  12.59  24.13  24.13   0.00  24.13  26.04  21.60   4.44  26.04  11.77
  550.00  560.00   3.67   5.70   3.29   0.00   0.00  12.67  23.58  23.58   0.00  23.58  26.10  21.58   4.52  26.10  11.79
  560.00  570.00   3.70   5.74   3.32   0.00   0.00  12.76  23.15  23.15   0.00  23.15  26.04  21.55   4.50  26.04  11.80
  570.00  580.00   3.92   6.02   3.15   0.00   0.00  13.09  22.40  22.40   0.00  22.40  22.72  18.84   3.88  22.72  11.78
  580.00  590.00   3.47   6.12   3.71   0.00   0.00  13.30  22.57  22.57   0.00  22.57  28.49  25.54   2.95  28.49  11.70
  590.00  600.00   3.59   6.15   3.64   0.00   0.00  13.38  22.76  22.76   0.00  22.76  27.12  23.63   1.94  25.58  11.78
  600.00  610.00   3.61   6.16   3.62   0.00   0.00  13.40  22.79  22.79   0.00  22.79  27.96  24.43   1.85  26.28  11.80
  610.00  620.00   3.71   6.16   3.53   0.00   0.00  13.40  23.00  23.00   0.00  23.00  26.51  24.54   1.23  25.78  11.57
  620.00  630.00   3.87   6.28   3.24   0.00   0.00  13.40  23.35  23.35   0.00  23.35  31.22  29.19   1.02  30.20  11.37
  630.00  640.00   5.12   6.13   2.10   0.00   0.00  13.35  23.53  23.53   0.00  23.53  26.82  25.51   0.99  26.49  12.31
  640.00  650.00   5.78   5.95   1.53   0.00   0.00  13.26  23.70  23.70   0.00  23.70  27.63  25.85   1.17  27.01  11.44
  650.00  660.00   3.38   5.68   3.65   0.00   0.00  12.72  24.13  24.13   0.00  24.13  27.51  25.91   0.93  26.84  12.10
  660.00  670.00   3.62   5.71   2.92   0.00   0.00  12.30  26.36  24.02   0.00  24.02  25.23  24.21   0.70  24.90  12.10
  670.00  680.00   4.22   7.48   0.00   0.00   0.00  11.73  37.74  21.63   0.00  21.63  20.79  19.91   0.23  20.14  12.10
  680.00  690.00   6.79  17.99   0.00   0.00   0.00  24.77  24.09  23.12   0.00  23.12  20.14  20.08   0.00  20.08  11.89
  690.00  700.00   4.57   8.37   0.00   0.00   0.00  12.94  33.89  29.04   0.00  29.04  26.06  23.16   0.00  23.16  15.22
  700.00  710.00   4.87   6.55   0.00   0.00   0.00  11.42  26.53  25.38   0.00  25.38  27.58  23.86   0.00  23.86  13.26
  710.00  720.00   4.13   4.81   0.00   0.00   0.00   8.95  23.28  16.75   0.00  16.75  28.20  23.59   0.00  23.59  12.24
  720.00  730.00   4.15  11.30   0.00   0.00   0.00  15.46  31.70  18.01   0.00  18.01  30.27  25.94   0.00  25.94  11.96
  730.00  740.00  10.45   0.43   0.00   0.00   0.00  10.88  22.89  11.82   0.00  11.82  32.85  29.02   0.00  29.02  11.71
  740.00  750.00  12.97   0.00   0.00   0.00   0.00  12.97  24.74   8.49   0.00   8.49  19.99  14.91   0.00  14.91  11.54
  750.00  760.00   9.69   0.00   0.00   0.00   0.00   9.69  22.19  14.55   0.00  14.55  18.19  10.59   0.00  10.59  11.42
  760.00  770.00   4.02   0.00   0.00   0.00   0.00   4.02  87.91  59.28   0.00  59.28  19.79  10.35   0.00  10.35  11.35
  770.00  780.00   3.87   0.00   0.00   0.00   0.00   3.87  21.74  11.63   0.00  11.63  19.43   9.19   0.00   9.19  11.23
  780.00  790.00   3.72   0.00   0.00   0.00   0.00   3.72  24.04   9.98   0.00   9.98  23.83  10.24   0.00  10.24  11.02
  790.00  800.00   3.97   0.00   0.00   0.00   0.00   3.97  26.90  11.12   0.00  11.12  28.25  10.26   0.00  10.26  10.93
  800.00  810.00   3.41   0.00   0.00   0.00   0.00   3.41  20.91   0.00   0.00   0.00  33.14  11.74   0.00  11.74  10.74
  810.00  820.00   5.76   0.00   0.00   0.00   0.00   5.76  35.39   0.00   0.00   0.00  32.52  14.39   0.00  14.39  10.64
  820.00  830.00   3.05   0.00   0.00   0.00   0.00   3.05  10.15   0.00   0.00   0.00  19.96   7.64   0.00   7.64  10.49
  830.00  840.00   3.30   0.00   0.00   0.00   0.00   3.30  14.84   0.00   0.00   0.00  12.42   4.78   0.00   4.78  10.31
  840.00  850.00   3.24   0.00   0.00   0.00   0.00   3.24  18.96   0.00   0.00   0.00  11.07   3.93   0.00   3.93   9.80
  850.00  860.00   3.12   0.00   0.00   0.00   0.00   3.12  13.39   0.00   0.00   0.00   8.79   3.79   0.00   3.79   1.86
  860.00  870.00   3.10   0.00   0.00   0.00   0.00   3.10  11.34   0.00   0.00   0.00   7.66   4.68   0.00   4.68   0.00
  870.00  880.00   7.30   0.00   0.00   0.00   0.00   7.30  29.67   0.00   0.00   0.00   9.34   6.06   0.00   6.06   0.00
  880.00  890.00   3.21   0.00   0.00   0.00   0.00   3.21  33.07   0.00   0.00   0.00   9.57   6.55   0.00   6.51   0.00
  890.00  900.00   2.77   0.00   0.00   0.00   0.00   2.77  12.23   0.00   0.00   0.00   7.64   5.32   0.00   5.32   0.00
  900.00  910.00   2.58   0.00   0.00   0.00   0.00   2.58   7.09   0.00   0.00   0.00  10.36   7.09   0.00   7.09   0.00
  910.00  920.00   0.30   0.00   0.00   0.00   0.00   0.30   8.48   0.00   0.00   0.00  12.82   8.23   0.00   8.23   0.00
  920.00  930.00   0.00   0.00   0.00   0.00   0.00   0.00  16.20   0.00   0.00   0.00   6.77   5.37   0.00   5.37   0.00
  930.00  940.00   0.00   0.00   0.00   0.00   0.00   0.00  12.63   0.00   0.00   0.00  24.62  19.83   0.00  19.83   0.00
  940.00  950.00   0.00   0.00   0.00   0.00   0.00   0.00  12.56   0.00   0.00   0.00  13.19  10.19   0.00  10.19   0.00
