  EUV fluxes summed into user specified bins
 Bin     WL_LO    WL_HI    Ave_A    Ave_nm  Flux(ph/cm2/s)   Flux(W/m2/nm)
    1     0.00    10.00     5.00     0.50      1.000E+01      3.972E-11
    2    10.00    20.00    15.00     1.50      7.200E+06      9.532E-06
    3    20.00    30.00    25.00     2.50      2.496E+07      1.983E-05
    4    30.00    40.00    35.00     3.50      8.400E+06      4.766E-06
    5    40.00    50.00    45.00     4.50      4.944E+07      2.182E-05
    6    50.00    60.00    55.00     5.50      1.450E+08      5.234E-05
    7    60.00    70.00    65.00     6.50      1.829E+08      5.586E-05
    8    70.00    80.00    75.00     7.50      1.978E+08      5.239E-05
    9    80.00    90.00    85.00     8.50      2.741E+08      6.405E-05
   10    90.00   100.00    95.00     9.50      2.484E+08      5.192E-05
   11   100.00   110.00   105.00    10.50      1.314E+08      2.485E-05
   12   110.00   120.00   115.00    11.50      4.681E+07      8.084E-06
   13   120.00   130.00   125.00    12.50      3.887E+07      6.176E-06
   14   130.00   140.00   135.00    13.50      2.354E+07      3.463E-06
   15   140.00   150.00   145.00    14.50      1.692E+08      2.317E-05
   16   150.00   160.00   155.00    15.50      1.366E+08      1.750E-05
   17   160.00   170.00   165.00    16.50      1.929E+08      2.322E-05
   18   170.00   180.00   175.00    17.50      1.307E+09      1.484E-04
   19   180.00   190.00   185.00    18.50      1.316E+09      1.413E-04
   20   190.00   200.00   195.00    19.50      1.006E+09      1.025E-04
   21   200.00   210.00   205.00    20.50      4.670E+08      4.524E-05
   22   210.00   220.00   215.00    21.50      4.253E+08      3.928E-05
   23   220.00   230.00   225.00    22.50      4.285E+08      3.782E-05
   24   230.00   240.00   235.00    23.50      3.304E+08      2.792E-05
   25   240.00   250.00   245.00    24.50      8.499E+08      6.889E-05
   26   250.00   260.00   255.00    25.50      1.052E+09      8.196E-05
   27   260.00   270.00   265.00    26.50      1.632E+08      1.223E-05
   28   270.00   280.00   275.00    27.50      3.405E+08      2.459E-05
   29   280.00   290.00   285.00    28.50      2.096E+08      1.460E-05
   30   290.00   300.00   295.00    29.50      1.802E+08      1.213E-05
   31   300.00   310.00   305.00    30.50      7.258E+09      4.726E-04
   32   310.00   320.00   315.00    31.50      3.635E+08      2.292E-05
   33   320.00   330.00   325.00    32.50      1.939E+07      1.185E-06
   34   330.00   340.00   335.00    33.50      1.120E+08      6.639E-06
   35   340.00   350.00   345.00    34.50      4.168E+08      2.399E-05
   36   350.00   360.00   355.00    35.50      8.800E+07      4.923E-06
   37   360.00   370.00   365.00    36.50      7.494E+08      4.077E-05
   38   370.00   380.00   375.00    37.50      1.000E+01      5.296E-13
   39   380.00   390.00   385.00    38.50      1.000E+01      5.158E-13
   40   390.00   400.00   395.00    39.50      1.120E+07      5.631E-07
   41   400.00   410.00   405.00    40.50      1.464E+08      7.176E-06
   42   410.00   420.00   415.00    41.50      2.454E+07      1.174E-06
   43   420.00   430.00   425.00    42.50      2.182E+06      1.019E-07
   44   430.00   440.00   435.00    43.50      1.700E+08      7.760E-06
   45   440.00   450.00   445.00    44.50      5.196E+06      2.319E-07
   46   450.00   460.00   455.00    45.50      7.760E+06      3.387E-07
   47   460.00   470.00   465.00    46.50      2.761E+08      1.179E-05
   48   470.00   480.00   475.00    47.50      2.160E+07      9.031E-07
   49   480.00   490.00   485.00    48.50      4.440E+07      1.818E-06
   50   490.00   500.00   495.00    49.50      1.424E+08      5.713E-06
   51   500.00   510.00   505.00    50.50      1.444E+08      5.678E-06
   52   510.00   520.00   515.00    51.50      2.633E+07      1.015E-06
   53   520.00   530.00   525.00    52.50      1.169E+08      4.422E-06
   54   530.00   540.00   535.00    53.50      1.071E+08      3.975E-06
   55   540.00   550.00   545.00    54.50      1.000E+01      3.644E-13
   56   550.00   560.00   555.00    55.50      7.727E+08      2.765E-05
   57   560.00   570.00   565.00    56.50      1.270E+08      4.465E-06
   58   570.00   580.00   575.00    57.50      1.000E+01      3.454E-13
   59   580.00   590.00   585.00    58.50      1.190E+09      4.038E-05
   60   590.00   600.00   595.00    59.50      1.337E+08      4.463E-06
   61   600.00   610.00   605.00    60.50      4.250E+08      1.395E-05
   62   610.00   620.00   615.00    61.50      2.356E+07      7.608E-07
   63   620.00   630.00   625.00    62.50      1.733E+09      5.505E-05
   64   630.00   640.00   635.00    63.50      1.411E+06      4.412E-08
   65   640.00   650.00   645.00    64.50      5.985E+07      1.843E-06
