  EUV fluxes summed into user specified bins
 Bin     WL_LO    WL_HI    Ave_A    Ave_nm  Flux(ph/cm2/s)   Flux(W/m2/nm)
   95   940.00   950.00   945.00    94.50      4.550E+08      9.562E-06
   96   950.00   960.00   955.00    95.50      5.409E+07      1.125E-06
   97   960.00   970.00   965.00    96.50      6.475E+07      1.333E-06
   98   970.00   980.00   975.00    97.50      5.527E+09      1.126E-04
   99   980.00   990.00   985.00    98.50      2.798E+08      5.641E-06
  100   990.00  1000.00   995.00    99.50      4.851E+08      9.683E-06
  101  1000.00  1010.00  1005.00   100.50      1.330E+08      2.628E-06
  102  1010.00  1020.00  1015.00   101.50      2.473E+08      4.838E-06
  103  1020.00  1030.00  1025.00   102.50      4.099E+09      7.941E-05
  104  1030.00  1040.00  1035.00   103.50      4.214E+09      8.086E-05
  105  1040.00  1050.00  1045.00   104.50      2.733E+08      5.194E-06
  106  1050.00  1060.00  1055.00   105.50      1.561E+08      2.938E-06
