 0000 00 00 00 00 00     50.0   100.0   150.0   200.0   256.3   284.1   250.0   303.3   303.8   300.0   368.1   350.0   400.0   465.2   450.0   500.0   554.4   584.3   550.0   609.8   629.7   600.0   650.0   703.3   700.0   765.1   770.4   789.4   750.0   800.0   850.0   900.0   977.0   950.0  1025.7  1031.9  1000.0
 0000 00 00 00 00 00    100.0   150.0   200.0   250.0   256.3   284.1   300.0   303.3   303.8   350.0   368.1   400.0   450.0   465.2   500.0   550.0   554.4   584.3   600.0   609.8   629.7   650.0   700.0   703.3   750.0   765.1   770.4   789.4   800.0   850.0   900.0   950.0   977.0  1000.0  1025.7  1031.9  1050.0
 2003 10 28 00 00 00  5.17252948e-04 1.42819133e-04 7.49710914e-04 5.70876571e-04 5.20170026e-05 7.47579150e-05 4.45244508e-04 5.15283644e-04 5.15283644e-04 9.08242962e-04 3.63499625e-05 2.14068143e-04 6.29228192e-05 1.17295727e-05 9.92346490e-05 6.84602765e-05 1.54499765e-05 5.18770830e-05 1.26832057e-04 2.44966883e-05 4.03575017e-05 1.24194833e-04 1.94087446e-05 5.20872163e-06 3.51294011e-05 6.38842394e-06 1.19609009e-05 5.64128204e-06 1.09942651e-04 1.32929620e-04 2.28466528e-04 1.81841007e-04 9.50960908e-05 2.40395183e-04 7.62369600e-05 4.25994775e-05 2.77887775e-04
 2003 10 28 00 01 00  5.16869171e-04 1.42414452e-04 7.49479437e-04 5.70662945e-04 5.19958441e-05 7.47311627e-05 4.45046020e-04 5.14857471e-04 5.14857471e-04 9.07559761e-04 3.62765684e-05 2.13892994e-04 6.28828461e-05 1.17246353e-05 9.91512442e-05 6.84247827e-05 1.54359805e-05 5.17866458e-05 1.26705024e-04 2.44983326e-05 4.03579616e-05 1.24145460e-04 1.93916031e-05 5.20375361e-06 3.50792779e-05 6.38534257e-06 1.19511169e-05 5.64136426e-06 1.09883609e-04 1.32786965e-04 2.28354309e-04 1.81722927e-04 9.47046501e-05 2.39894255e-04 7.62397365e-05 4.26005921e-05 2.77614184e-04
 2003 10 28 00 02 00  5.16204308e-04 1.41753216e-04 7.49056658e-04 5.70265996e-04 5.19574271e-05 7.46810576e-05 4.44679540e-04 5.14139654e-04 5.14139654e-04 9.06385808e-04 3.61488288e-05 2.13578694e-04 6.28107168e-05 1.17159972e-05 9.90025601e-05 6.83608344e-05 1.54111534e-05 5.16263070e-05 1.26479383e-04 2.44999770e-05 4.03584214e-05 1.24056132e-04 1.93620297e-05 5.19507958e-06 3.49920118e-05 6.37988123e-06 1.19338874e-05 5.64144648e-06 1.09779114e-04 1.32533183e-04 2.28150725e-04 1.81513581e-04 9.40206868e-05 2.39018869e-04 7.62425072e-05 4.26017068e-05 2.77130265e-04
 2003 10 28 00 03 00  5.15731843e-04 1.41296075e-04 7.48761042e-04 5.69986929e-04 5.19309076e-05 7.46457663e-05 4.44420289e-04 5.13633341e-04 5.13633341e-04 9.05551471e-04 3.60535341e-05 2.13346497e-04 6.27568307e-05 1.17094438e-05 9.88911585e-05 6.83133975e-05 1.53922520e-05 5.15044958e-05 1.26308877e-04 2.45016214e-05 4.03588783e-05 1.23989848e-04 1.93402396e-05 5.18853849e-06 3.49266524e-05 6.37569974e-06 1.19207180e-05 5.64152833e-06 1.09700570e-04 1.32341208e-04 2.27998504e-04 1.81357888e-04 9.35035758e-05 2.38359331e-04 7.62452837e-05 4.26028215e-05 2.76765581e-04
 2003 10 28 00 04 00  5.15511221e-04 1.41078045e-04 7.48635621e-04 5.69869657e-04 5.19198773e-05 7.46310281e-05 4.44309081e-04 5.13392221e-04 5.13392221e-04 9.05158133e-04 3.60054313e-05 2.13234828e-04 6.27305647e-05 1.17060656e-05 9.88359069e-05 6.82905171e-05 1.53825851e-05 5.14423824e-05 1.26222828e-04 2.45032628e-05 4.03593382e-05 1.23957998e-04 1.93293593e-05 5.18519009e-06 3.48934588e-05 6.37354096e-06 1.19138924e-05 5.64161055e-06 1.09661124e-04 1.32244301e-04 2.27924617e-04 1.81281169e-04 9.32379975e-05 2.38022491e-04 7.62480544e-05 4.26039333e-05 2.76581517e-04
 2003 10 28 00 05 00  5.17000796e-04 1.42358105e-04 7.50315675e-04 5.71115681e-04 5.20404952e-05 7.46556732e-05 4.45324613e-04 5.16326074e-04 5.16326074e-04 9.09649665e-04 3.60495906e-05 2.14592243e-04 6.32969638e-05 1.18284130e-05 1.00355024e-04 6.88509501e-05 1.60030628e-05 5.36296342e-05 1.29576921e-04 2.45049072e-05 4.12085821e-05 1.25984080e-04 1.94925007e-05 5.26604563e-06 3.55050073e-05 6.53717216e-06 1.20873025e-05 5.64169241e-06 1.10798302e-04 1.36257822e-04 2.31430528e-04 1.83365221e-04 1.02755963e-04 2.48801944e-04 7.62508251e-05 4.26050479e-05 2.83801174e-04
 2003 10 28 00 06 00  5.15658317e-04 1.41171800e-04 7.48786484e-04 5.70021114e-04 5.19338821e-05 7.46507954e-05 4.44440969e-04 5.13516646e-04 5.13516646e-04 9.05397723e-04 3.60246282e-05 2.13307390e-04 6.27467211e-05 1.17072195e-05 9.88647339e-05 6.83053857e-05 1.53864836e-05 5.14679472e-05 1.26261729e-04 2.45065457e-05 4.03602549e-05 1.23979467e-04 1.93338863e-05 5.18639536e-06 3.49060756e-05 6.37434059e-06 1.19162178e-05 5.64177426e-06 1.09679257e-04 1.32288417e-04 2.27972214e-04 1.81321897e-04 9.33312811e-05 2.38147289e-04 7.62535958e-05 4.26061597e-05 2.76662739e-04
 2003 10 28 00 07 00  5.15451013e-04 1.40968280e-04 7.48669765e-04 5.69911850e-04 5.19236724e-05 7.46370642e-05 4.44337008e-04 5.13290381e-04 5.13290381e-04 9.05027930e-04 3.59786849e-05 2.13201136e-04 6.27216380e-05 1.17039766e-05 9.88119096e-05 6.82835875e-05 1.53771951e-05 5.14082960e-05 1.26179228e-04 2.45081872e-05 4.03607148e-05 1.23949125e-04 1.93235309e-05 5.18318666e-06 3.48743314e-05 6.37226258e-06 1.19096505e-05 5.64185611e-06 1.09641500e-04 1.32195486e-04 2.27901642e-04 1.81248721e-04 9.30765993e-05 2.37824604e-04 7.62563664e-05 4.26072744e-05 2.76486432e-04
 2003 10 28 00 08 00  5.15395753e-04 1.40901134e-04 7.48656931e-04 5.69902487e-04 5.19227877e-05 7.46360747e-05 4.44324771e-04 5.13220672e-04 5.13220672e-04 9.04923308e-04 3.59626662e-05 2.13171633e-04 6.27143834e-05 1.17027870e-05 9.87952509e-05 6.82775193e-05 1.53739413e-05 5.13875566e-05 1.26151519e-04 2.45098287e-05 4.03611717e-05 1.23940881e-04 1.93199842e-05 5.18202833e-06 3.48630772e-05 6.37151461e-06 1.19072356e-05 5.64193797e-06 1.09628926e-04 1.32164342e-04 2.27881795e-04 1.81225903e-04 9.29839793e-05 2.37709102e-04 7.62591371e-05 4.26083861e-05 2.76426765e-04
 2003 10 28 00 09 00  5.15037796e-04 1.40573645e-04 7.48435533e-04 5.69691003e-04 5.19033871e-05 7.46092061e-05 4.44126401e-04 5.12844464e-04 5.12844464e-04 9.04292296e-04 3.58849618e-05 2.12983395e-04 6.26698917e-05 1.16973024e-05 9.87032031e-05 6.82387769e-05 1.53579749e-05 5.12850063e-05 1.26008975e-04 2.45114672e-05 4.03616315e-05 1.23886669e-04 1.93025504e-05 5.17660410e-06 3.48094371e-05 6.36795448e-06 1.18960692e-05 5.64201982e-06 1.09563837e-04 1.32003551e-04 2.27755780e-04 1.81098830e-04 9.25534405e-05 2.37162652e-04 7.62619078e-05 4.26094979e-05 2.76123487e-04
