   Wavelength    N2 abs        N2+     N+ (from N2)  N2 ion      O2 abs        O2+     O+ (from O2)  O2 ion       N ion
     245.94       9.841       6.222       3.619       9.841      12.435       7.792       4.642      12.435       4.533
     246.24       9.855       6.239       3.616       9.855      12.462       7.815       4.647      12.462       4.542
     246.91       9.884       6.276       3.608       9.884      12.522       7.865       4.657      12.522       4.563
     247.18       9.896       6.291       3.605       9.896      12.546       7.886       4.660      12.546       4.571
     248.00       9.932       6.337       3.595       9.932      12.620       7.948       4.672      12.620       4.597
     249.18       9.984       6.404       3.580       9.984      12.726       8.037       4.689      12.726       4.636
     249.23       9.986       6.406       3.580       9.986      12.731       8.041       4.689      12.731       4.638
     250.00      10.020       6.450       3.570      10.020      12.800       8.100       4.700      12.800       4.663
     251.10      10.055       6.507       3.548      10.055      12.899       8.163       4.736      12.899       4.700
     251.95      10.082       6.551       3.532      10.082      12.976       8.211       4.764      12.976       4.728
     251.96      10.083       6.551       3.531      10.083      12.976       8.212       4.765      12.976       4.728
     252.17      10.089       6.562       3.527      10.089      12.995       8.224       4.772      12.995       4.735
     252.19      10.090       6.563       3.527      10.090      12.997       8.225       4.772      12.997       4.736
     253.78      10.141       6.646       3.495      10.141      13.140       8.315       4.825      13.140       4.789
     253.80      10.142       6.647       3.494      10.142      13.142       8.317       4.825      13.142       4.790
     254.40      10.161       6.679       3.482      10.161      13.196       8.351       4.845      13.196       4.810
     255.00      10.180       6.710       3.470      10.180      13.250       8.385       4.865      13.250       4.829
     256.32      10.206       6.784       3.423      10.206      13.369       8.460       4.909      13.369       4.873
     256.37      10.207       6.786       3.421      10.207      13.373       8.463       4.910      13.373       4.875
     256.38      10.208       6.787       3.421      10.208      13.374       8.464       4.911      13.374       4.875
     256.64      10.213       6.801       3.411      10.213      13.398       8.478       4.919      13.398       4.884
     256.69      10.214       6.804       3.410      10.214      13.402       8.481       4.921      13.402       4.886
     257.16      10.223       6.830       3.393      10.223      13.444       8.508       4.936      13.444       4.901
     257.39      10.228       6.843       3.384      10.228      13.465       8.521       4.944      13.465       4.909
     257.48      10.230       6.848       3.381      10.230      13.473       8.526       4.947      13.473       4.912
     258.30      10.246       6.894       3.352      10.246      13.547       8.573       4.974      13.547       4.939
     258.36      10.247       6.898       3.349      10.247      13.552       8.577       4.976      13.552       4.941
     258.40      10.248       6.900       3.348      10.248      13.556       8.579       4.977      13.556       4.942
     259.50      10.270       6.962       3.308      10.270      13.655       8.641       5.014      13.655       4.977
     259.52      10.270       6.963       3.307      10.270      13.657       8.643       5.014      13.657       4.978
     260.00      10.280       6.990       3.290      10.280      13.700       8.670       5.030      13.700       4.993
     261.05      10.305       7.034       3.271      10.305      13.805       8.718       5.087      13.805       5.027
     261.08      10.306       7.035       3.271      10.306      13.808       8.719       5.089      13.808       5.028
     262.99      10.352       7.115       3.237      10.352      13.999       8.805       5.194      13.999       5.089
     264.24      10.382       7.168       3.214      10.382      14.124       8.861       5.263      14.124       5.129
     264.27      10.382       7.169       3.213      10.382      14.127       8.863       5.264      14.127       5.130
     264.80      10.395       7.192       3.204      10.395      14.180       8.886       5.294      14.180       5.147
     265.00      10.400       7.200       3.200      10.400      14.200       8.895       5.305      14.200       5.154
     269.50      10.490       7.416       3.074      10.490      14.650       9.092       5.558      14.650       5.298
     270.00      10.500       7.440       3.060      10.500      14.700       9.114       5.586      14.700       5.313
     270.50      10.511       7.464       3.047      10.511      14.740       9.141       5.599      14.740       5.329
     270.51      10.511       7.464       3.047      10.511      14.741       9.141       5.600      14.741       5.329
     271.99      10.544       7.535       3.009      10.544      14.859       9.220       5.639      14.859       5.375
     272.64      10.558       7.566       2.992      10.558      14.911       9.255       5.656      14.911       5.395
     272.70      10.559       7.569       2.990      10.559      14.916       9.258       5.658      14.916       5.397
     274.19      10.592       7.641       2.951      10.592      15.035       9.338       5.697      15.035       5.443
     274.24      10.593       7.643       2.950      10.593      15.039       9.341       5.699      15.039       5.444
     275.00      10.610       7.680       2.930      10.610      15.100       9.381       5.719      15.100       5.468
     275.35      10.622       7.694       2.928      10.622      15.128       9.400       5.728      15.128       5.479
     275.67      10.633       7.707       2.926      10.633      15.154       9.417       5.736      15.154       5.489
     275.76      10.636       7.710       2.926      10.636      15.161       9.422       5.739      15.161       5.491
     276.15      10.649       7.726       2.923      10.649      15.192       9.443       5.749      15.192       5.503
     276.77      10.670       7.751       2.920      10.670      15.242       9.476       5.765      15.242       5.522
     276.84      10.673       7.753       2.919      10.673      15.247       9.480       5.767      15.247       5.525
     277.00      10.678       7.760       2.918      10.678      15.260       9.489       5.771      15.260       5.530
     277.27      10.687       7.770       2.917      10.687      15.282       9.503       5.778      15.282       5.538
     278.40      10.726       7.816       2.910      10.726      15.372       9.564       5.808      15.372       5.573
     280.00      10.780       7.880       2.900      10.780      15.500       9.650       5.850      15.500       5.622
     280.90      10.805       7.927       2.879      10.805      15.563       9.702       5.861      15.563       5.627
     281.41      10.819       7.953       2.867      10.819      15.599       9.732       5.867      15.599       5.642
     284.15      10.896       8.096       2.801      10.896      15.790       9.892       5.898      15.790       5.724
     285.00      10.920       8.140       2.780      10.920      15.850       9.942       5.908      15.850       5.750
     285.70      10.945       8.176       2.769      10.945      15.899       9.984       5.915      15.899       5.771
     285.85      10.951       8.184       2.767      10.951      15.910       9.992       5.917      15.910       5.776
     288.36      11.041       8.314       2.727      11.041      16.085      10.141       5.945      16.085       5.851
     289.17      11.070       8.357       2.714      11.070      16.142      10.189       5.953      16.142       5.875
     290.00      11.100       8.400       2.700      11.100      16.200      10.238       5.962      16.200       5.900
     290.69      11.123       8.434       2.689      11.123      16.235      10.268       5.966      16.235       5.928
     290.72      11.124       8.436       2.689      11.124      16.236      10.270       5.966      16.236       5.929
     291.63      11.155       8.481       2.674      11.155      16.282      10.310       5.972      16.282       5.965
     291.70      11.158       8.485       2.673      11.158      16.285      10.313       5.972      16.285       5.968
     292.00      11.168       8.500       2.668      11.168      16.300      10.326       5.974      16.300       5.980
     292.78      11.195       8.539       2.656      11.195      16.339      10.360       5.979      16.339       6.011
     292.83      11.196       8.541       2.655      11.196      16.341      10.362       5.979      16.341       6.013
     295.00      11.270       8.650       2.620      11.270      16.450      10.458       5.992      16.450       6.100
     295.57      11.296       8.679       2.617      11.296      16.479      10.484       5.995      16.479       6.123
     296.17      11.324       8.711       2.613      11.324      16.509      10.510       5.998      16.509       6.147
     296.19      11.325       8.712       2.613      11.325      16.510      10.511       5.998      16.510       6.148
     299.50      11.477       8.884       2.593      11.477      16.675      10.658       6.017      16.675       6.280
     300.00      11.500       8.910       2.590      11.500      16.700      10.681       6.019      16.700       6.300
     300.80      11.542       9.036       2.506      11.542      16.724      10.723       6.001      16.724       6.324
     303.31      11.674       9.182       2.492      11.674      16.799      10.858       5.941      16.799       6.399
     303.78      11.699       9.209       2.489      11.699      16.813      10.883       5.930      16.813       6.413
     303.80      11.700       9.211       2.489      11.700      16.814      10.884       5.930      16.814       6.414
     310.00      12.020       9.570       2.450      12.020      17.000      11.220       5.780      17.000       6.600
     315.00      12.370       9.916       2.454      12.370      17.100      11.452       5.648      17.100       6.750
     315.02      12.371       9.918       2.454      12.371      17.100      11.453       5.647      17.100       6.751
     315.05      12.374       9.920       2.454      12.374      17.101      11.454       5.647      17.101       6.751
     316.10      12.449      10.000       2.449      12.449      17.122      11.504       5.618      17.122       6.783
     316.20      12.456      10.008       2.449      12.456      17.124      11.508       5.616      17.124       6.786
     319.01      12.659      10.224       2.435      12.659      17.180      11.640       5.540      17.180       6.870
     319.83      12.718      10.287       2.431      12.718      17.197      11.678       5.518      17.197       6.895
     320.00      12.730      10.300       2.430      12.730      17.200      11.686       5.514      17.200       6.900
     320.56      12.775      10.342       2.432      12.775      17.206      11.709       5.496      17.206       6.917
     325.00      13.130      10.680       2.450      13.130      17.250      11.893       5.357      17.250       7.050
     330.00      13.550      11.110       2.440      13.550      17.300      12.100       5.200      17.300       7.200
     335.00      13.950      11.600       2.350      13.950      17.400      12.331       5.069      17.400       7.350
     335.05      13.954      11.606       2.348      13.954      17.401      12.333       5.068      17.401       7.351
     335.39      13.984      11.646       2.337      13.984      17.408      12.349       5.059      17.408       7.362
     335.41      13.985      11.649       2.337      13.985      17.408      12.350       5.058      17.408       7.362
     340.00      14.380      12.200       2.180      14.380      17.500      12.564       4.936      17.500       7.500
     345.00      14.820      12.700       2.120      14.820      17.650      12.728       4.922      17.650       7.650
     345.13      14.832      12.715       2.117      14.832      17.654      12.732       4.922      17.654       7.654
     345.74      14.888      12.788       2.100      14.888      17.672      12.752       4.920      17.672       7.672
     347.39      15.040      12.985       2.055      15.040      17.722      12.807       4.915      17.722       7.722
     347.42      15.043      12.989       2.054      15.043      17.723      12.808       4.915      17.723       7.723
     349.85      15.266      13.282       1.984      15.266      17.795      12.888       4.908      17.795       7.796
     350.00      15.280      13.300       1.980      15.280      17.800      12.893       4.907      17.800       7.800
     353.86      15.627      13.720       1.907      15.627      17.877      13.049       4.828      17.877       7.916
     356.01      15.821      13.957       1.864      15.821      17.920      13.137       4.783      17.920       7.980
     356.07      15.826      13.963       1.863      15.826      17.921      13.139       4.782      17.921       7.982
     360.00      16.180      14.400       1.780      16.180      18.000      13.300       4.700      18.000       8.100
     360.76      16.248      14.488       1.760      16.248      18.030      13.343       4.688      18.030       8.119
     360.80      16.252      14.493       1.759      16.252      18.032      13.345       4.687      18.032       8.120
     364.48      16.583      14.924       1.659      16.583      18.179      13.554       4.625      18.179       8.212
     364.80      16.612      14.961       1.651      16.612      18.192      13.572       4.620      18.192       8.220
     368.07      16.906      15.349       1.557      16.906      18.323      13.759       4.564      18.323       8.302
     370.00      17.080      15.580       1.500      17.080      18.400      13.870       4.530      18.400       8.350
     374.74      17.530      16.154       1.377      17.530      18.590      13.965       4.624      18.590       8.469
     380.00      18.030      16.800       1.230      18.030      18.800      14.070       4.730      18.800       8.600
     390.00      19.050      17.900       1.150      19.050      19.200      14.400       4.800      19.200       8.850
     399.82      20.052      18.980       1.072      20.052      19.593      14.800       4.793      19.593       9.096
     400.00      20.070      19.000       1.070      20.070      19.600      14.808       4.792      19.600       9.100
     401.14      20.178      19.114       1.065      20.178      19.646      14.851       4.794      19.646       9.129
     401.70      20.232      19.169       1.062      20.232      19.668      14.873       4.795      19.668       9.143
     401.94      20.254      19.193       1.061      20.254      19.678      14.882       4.796      19.678       9.149
     403.26      20.380      19.325       1.055      20.380      19.730      14.933       4.798      19.730       9.182
     405.00      20.545      19.499       1.046      20.545      19.800      15.000       4.800      19.800       9.225
     406.00      20.640      19.599       1.041      20.640      19.840      15.038       4.802      19.840       9.250
     407.00      20.735      19.699       1.036      20.735      19.880      15.077       4.803      19.880       9.275
     408.00      20.830      19.799       1.031      20.830      19.920      15.115       4.805      19.920       9.300
     409.00      20.925      19.900       1.025      20.925      19.960      15.154       4.806      19.960       9.325
     410.00      21.020      20.000       1.020      21.020      20.000      15.192       4.808      20.000       9.350
     411.00      21.103      20.099       1.004      21.103      20.030      15.225       4.805      20.030       9.375
     412.00      21.186      20.199       0.987      21.186      20.060      15.258       4.802      20.060       9.400
     413.00      21.269      20.298       0.971      21.269      20.090      15.291       4.799      20.090       9.425
     414.00      21.352      20.398       0.954      21.352      20.120      15.324       4.796      20.120       9.450
     415.00      21.435      20.498       0.937      21.435      20.150      15.357       4.793      20.150       9.475
     416.00      21.518      20.598       0.920      21.518      20.180      15.390       4.790      20.180       9.500
     417.00      21.601      20.698       0.903      21.601      20.210      15.423       4.787      20.210       9.525
     417.24      21.621      20.722       0.899      21.621      20.217      15.431       4.786      20.217       9.531
     417.71      21.660      20.770       0.890      21.660      20.231      15.447       4.784      20.231       9.543
     418.00      21.684      20.799       0.885      21.684      20.240      15.457       4.783      20.240       9.550
     419.00      21.767      20.899       0.868      21.767      20.270      15.490       4.780      20.270       9.575
     420.00      21.850      21.000       0.850      21.850      20.300      15.523       4.777      20.300       9.600
     421.00      21.929      21.072       0.857      21.929      20.340      15.553       4.787      20.340       9.620
     422.00      22.008      21.144       0.864      22.008      20.380      15.583       4.797      20.380       9.640
     423.00      22.087      21.216       0.871      22.087      20.420      15.613       4.807      20.420       9.660
     424.00      22.166      21.288       0.878      22.166      20.460      15.643       4.817      20.460       9.680
     425.00      22.245      21.360       0.885      22.245      20.500      15.673       4.827      20.500       9.700
     426.00      22.324      21.432       0.892      22.324      20.540      15.703       4.837      20.540       9.720
     427.00      22.403      21.504       0.899      22.403      20.580      15.733       4.847      20.580       9.740
     428.00      22.482      21.576       0.906      22.482      20.620      15.763       4.857      20.620       9.760
     429.00      22.561      21.648       0.913      22.561      20.660      15.793       4.867      20.660       9.780
     430.00      22.640      21.720       0.920      22.640      20.700      15.823       4.877      20.700       9.800
     430.47      22.662      21.740       0.921      22.662      20.714      15.841       4.873      20.714       9.809
     430.50      22.663      21.742       0.921      22.663      20.715      15.842       4.873      20.715       9.810
     431.00      22.686      21.763       0.923      22.686      20.730      15.861       4.869      20.730       9.820
     432.00      22.732      21.806       0.926      22.732      20.760      15.900       4.860      20.760       9.840
     433.00      22.778      21.849       0.929      22.778      20.790      15.938       4.852      20.790       9.860
     434.00      22.824      21.892       0.932      22.824      20.820      15.976       4.844      20.820       9.880
     435.00      22.870      21.935       0.935      22.870      20.850      16.015       4.835      20.850       9.900
     436.00      22.916      21.978       0.938      22.916      20.880      16.053       4.827      20.880       9.920
     436.10      22.921      21.982       0.938      22.921      20.883      16.057       4.826      20.883       9.922
     436.67      22.947      22.007       0.940      22.947      20.900      16.079       4.821      20.900       9.933
     436.70      22.948      22.008       0.940      22.948      20.901      16.080       4.821      20.901       9.934
     437.00      22.962      22.021       0.941      22.962      20.910      16.092       4.818      20.910       9.940
     438.00      23.008      22.064       0.944      23.008      20.940      16.130       4.810      20.940       9.960
     439.00      23.054      22.107       0.947      23.054      20.970      16.169       4.801      20.970       9.980
     440.00      23.100      22.150       0.950      23.100      21.000      16.208       4.792      21.000      10.000
     440.50      23.100      22.153       0.948      23.100      21.020      16.226       4.794      21.020      10.012
     441.00      23.100      22.155       0.945      23.100      21.040      16.245       4.795      21.040      10.025
     442.00      23.100      22.160       0.940      23.100      21.080      16.283       4.797      21.080      10.050
     442.30      23.100      22.162       0.939      23.100      21.092      16.294       4.798      21.092      10.057
     442.70      23.100      22.163       0.936      23.100      21.108      16.309       4.799      21.108      10.068
     443.00      23.100      22.165       0.935      23.100      21.120      16.320       4.800      21.120      10.075
     443.60      23.100      22.168       0.932      23.100      21.144      16.343       4.801      21.144      10.090
     444.00      23.100      22.170       0.930      23.100      21.160      16.358       4.802      21.160      10.100
     445.00      23.100      22.175       0.925      23.100      21.200      16.396       4.804      21.200      10.125
     445.10      23.100      22.176       0.924      23.100      21.204      16.400       4.804      21.204      10.128
     446.00      23.100      22.180       0.920      23.100      21.240      16.433       4.807      21.240      10.150
     446.20      23.100      22.181       0.919      23.100      21.248      16.441       4.807      21.248      10.155
     446.70      23.100      22.184       0.916      23.100      21.268      16.460       4.808      21.268      10.168
     447.00      23.100      22.185       0.915      23.100      21.280      16.471       4.809      21.280      10.175
     447.60      23.100      22.188       0.912      23.100      21.304      16.494       4.810      21.304      10.190
     448.00      23.100      22.190       0.910      23.100      21.320      16.509       4.811      21.320      10.200
     448.60      23.100      22.193       0.907      23.100      21.344      16.532       4.812      21.344      10.215
     449.00      23.100      22.195       0.905      23.100      21.360      16.547       4.813      21.360      10.225
     450.00      23.100      22.200       0.900      23.100      21.400      16.585       4.815      21.400      10.250
     450.20      23.099      22.197       0.902      23.099      21.406      16.588       4.818      21.406      10.255
     451.00      23.095      22.185       0.910      23.095      21.430      16.604       4.826      21.430      10.275
     452.00      23.090      22.170       0.920      23.090      21.460      16.623       4.837      21.460      10.300
     452.60      23.087      22.161       0.926      23.087      21.478      16.635       4.843      21.478      10.315
     453.00      23.085      22.155       0.930      23.085      21.490      16.642       4.848      21.490      10.325
     454.00      23.080      22.140       0.940      23.080      21.520      16.662       4.858      21.520      10.350
     454.30      23.079      22.135       0.943      23.079      21.529      16.667       4.862      21.529      10.358
     454.70      23.076      22.129       0.947      23.076      21.541      16.675       4.866      21.541      10.368
     455.00      23.075      22.125       0.950      23.075      21.550      16.681       4.869      21.550      10.375
     455.40      23.073      22.119       0.954      23.073      21.562      16.688       4.874      21.562      10.385
     456.00      23.070      22.110       0.960      23.070      21.580      16.700       4.880      21.580      10.400
     456.50      23.067      22.102       0.965      23.067      21.595      16.710       4.885      21.595      10.413
     457.00      23.065      22.095       0.970      23.065      21.610      16.719       4.891      21.610      10.425
     458.00      23.060      22.080       0.980      23.060      21.640      16.738       4.902      21.640      10.450
     459.00      23.055      22.065       0.990      23.055      21.670      16.758       4.912      21.670      10.475
     459.20      23.054      22.062       0.992      23.054      21.676      16.761       4.915      21.676      10.480
     460.00      23.050      22.050       1.000      23.050      21.700      16.777       4.923      21.700      10.500
     461.00      23.072      22.060       1.012      23.072      21.740      16.813       4.927      21.740      10.515
     462.00      23.094      22.070       1.024      23.094      21.780      16.849       4.931      21.780      10.530
     463.00      23.116      22.080       1.036      23.116      21.820      16.885       4.935      21.820      10.545
     464.00      23.138      22.090       1.048      23.138      21.860      16.921       4.939      21.860      10.560
     465.00      23.160      22.100       1.060      23.160      21.900      16.958       4.942      21.900      10.575
     465.22      23.165      22.102       1.062      23.165      21.909      16.966       4.943      21.909      10.578
     466.00      23.182      22.110       1.072      23.182      21.940      16.994       4.946      21.940      10.590
     467.00      23.204      22.120       1.084      23.204      21.980      17.030       4.950      21.980      10.605
     468.00      23.226      22.130       1.096      23.226      22.020      17.066       4.954      22.020      10.620
     469.00      23.248      22.140       1.108      23.248      22.060      17.102       4.958      22.060      10.635
     469.80      23.266      22.148       1.118      23.266      22.092      17.132       4.960      22.092      10.647
     470.00      23.270      22.150       1.120      23.270      22.100      17.139       4.961      22.100      10.650
     471.00      23.303      22.170       1.133      23.303      22.150      17.158       4.992      22.150      10.665
     472.00      23.336      22.190       1.146      23.336      22.200      17.178       5.022      22.200      10.680
     473.00      23.369      22.210       1.159      23.369      22.250      17.197       5.053      22.250      10.695
     473.20      23.376      22.214       1.161      23.376      22.260      17.201       5.059      22.260      10.698
     473.80      23.395      22.226       1.169      23.395      22.290      17.213       5.077      22.290      10.707
     474.00      23.402      22.230       1.172      23.402      22.300      17.217       5.083      22.300      10.710
     475.00      23.435      22.250       1.185      23.435      22.350      17.236       5.114      22.350      10.725
     475.90      23.465      22.268       1.196      23.465      22.395      17.253       5.142      22.395      10.738
     476.00      23.468      22.270       1.198      23.468      22.400      17.255       5.145      22.400      10.740
     476.40      23.481      22.278       1.203      23.481      22.420      17.263       5.157      22.420      10.746
     477.00      23.501      22.290       1.211      23.501      22.450      17.274       5.176      22.450      10.755
     478.00      23.534      22.310       1.224      23.534      22.500      17.293       5.207      22.500      10.770
     478.50      23.551      22.320       1.230      23.551      22.525      17.302       5.223      22.525      10.778
     479.00      23.567      22.330       1.237      23.567      22.550      17.312       5.238      22.550      10.785
     480.00      23.600      22.350       1.250      23.600      22.600      17.331       5.269      22.600      10.800
     480.80      23.592      22.370       1.222      23.592      22.632      17.361       5.271      22.632      10.816
     481.00      23.590      22.375       1.215      23.590      22.640      17.368       5.272      22.640      10.820
     481.70      23.583      22.393       1.190      23.583      22.668      17.395       5.273      22.668      10.834
     482.00      23.580      22.400       1.180      23.580      22.680      17.406       5.274      22.680      10.840
     482.10      23.579      22.403       1.176      23.579      22.684      17.410       5.274      22.684      10.842
     482.60      23.574      22.415       1.159      23.574      22.704      17.428       5.276      22.704      10.852
     483.00      23.570      22.425       1.145      23.570      22.720      17.444       5.276      22.720      10.860
     483.30      23.567      22.433       1.134      23.567      22.732      17.455       5.277      22.732      10.866
     484.00      23.560      22.450       1.110      23.560      22.760      17.481       5.279      22.760      10.880
     484.70      23.553      22.468       1.085      23.553      22.788      17.508       5.280      22.788      10.894
     485.00      23.550      22.475       1.075      23.550      22.800      17.519       5.281      22.800      10.900
     486.00      23.540      22.500       1.040      23.540      22.840      17.557       5.283      22.840      10.920
     486.60      23.534      22.515       1.019      23.534      22.864      17.579       5.285      22.864      10.932
     487.00      23.530      22.525       1.005      23.530      22.880      17.594       5.286      22.880      10.940
     488.00      23.520      22.550       0.970      23.520      22.920      17.632       5.288      22.920      10.960
     489.00      23.510      22.575       0.935      23.510      22.960      17.670       5.290      22.960      10.980
     489.50      23.505      22.588       0.917      23.505      22.980      17.689       5.291      22.980      10.990
     490.00      23.500      22.600       0.900      23.500      23.000      17.708       5.292      23.000      11.000
     491.00      23.500      22.650       0.850      23.500      23.060      17.746       5.314      23.060      11.020
     491.70      23.500      22.685       0.815      23.500      23.102      17.773       5.329      23.102      11.034
     492.00      23.500      22.700       0.800      23.500      23.120      17.785       5.335      23.120      11.040
     493.00      23.500      22.750       0.750      23.500      23.180      17.824       5.356      23.180      11.060
     494.00      23.500      22.800       0.700      23.500      23.240      17.862       5.378      23.240      11.080
     495.00      23.500      22.850       0.650      23.500      23.300      17.901       5.399      23.300      11.100
     496.00      23.500      22.910       0.590      23.500      23.360      17.939       5.421      23.360      11.120
     497.00      23.500      22.970       0.530      23.500      23.420      17.977       5.443      23.420      11.140
     498.00      23.500      23.030       0.470      23.500      23.480      18.016       5.464      23.480      11.160
     499.00      23.500      23.090       0.410      23.500      23.540      18.054       5.486      23.540      11.180
     499.27      23.500      23.106       0.394      23.500      23.556      18.064       5.492      23.556      11.185
     499.37      23.500      23.112       0.388      23.500      23.562      18.068       5.494      23.562      11.187
     500.00      23.500      23.150       0.350      23.500      23.600      18.092       5.508      23.600      11.200
     501.00      23.516      23.220       0.296      23.516      23.640      18.131       5.509      23.640      11.215
     501.10      23.518      23.227       0.291      23.518      23.644      18.135       5.509      23.644      11.217
     502.00      23.532      23.290       0.242      23.532      23.680      18.169       5.511      23.680      11.230
     503.00      23.548      23.360       0.188      23.548      23.720      18.207       5.513      23.720      11.245
     504.00      23.564      23.430       0.134      23.564      23.760      18.246       5.514      23.760      11.260
     505.00      23.580      23.500       0.080      23.580      23.800      18.284       5.516      23.800      11.275
     507.90      23.725      23.674       0.051      23.725      23.916      18.396       5.520      23.916      11.318
     507.93      23.726      23.676       0.051      23.726      23.917      18.397       5.520      23.917      11.319
     510.00      23.830      23.800       0.030      23.830      24.000      18.477       5.523      24.000      11.350
     515.60      24.250      24.250       0.000      24.250      24.280      18.812       5.468      24.280      11.434
     520.00      24.580      24.580       0.000      24.580      24.500      19.077       5.423      24.500      11.500
     520.66      24.612      24.612       0.000      24.612      24.526      19.135       5.391      24.526      11.507
     521.10      24.634      24.634       0.000      24.634      24.544      19.175       5.369      24.544      11.511
     525.80      24.864      24.864       0.000      24.864      24.732      19.596       5.136      24.732      11.558
     530.00      25.070      25.070       0.000      25.070      24.900      19.976       4.924      24.900      11.600
     537.02      25.231      25.231       0.000      25.231      25.251      20.500       4.751      25.251      11.670
     537.03      25.232      25.232       0.000      25.232      25.252      20.501       4.751      25.252      11.670
     540.00      25.300      25.300       0.000      25.300      25.400      20.724       4.676      25.400      11.700
     542.80      25.132      25.132       0.000      25.132      25.281      20.924       4.357      25.281      11.714
     544.70      25.018      25.018       0.000      25.018      25.200      21.058       4.142      25.200      11.724
     548.90      24.766      24.766       0.000      24.766      25.900      21.341       4.559      25.900      11.745
     550.00      24.700      24.700       0.000      24.700      25.900      21.484       4.416      25.900      11.750
     551.40      24.518      24.518       0.000      24.518      25.900      21.667       4.233      25.900      11.757
     554.37      24.132      24.132       0.000      24.132      26.041      21.602       4.439      26.041      11.772
     554.51      24.114      24.114       0.000      24.114      26.048      21.599       4.449      26.048      11.773
     555.60      23.972      23.972       0.000      23.972      26.100      21.575       4.525      26.100      11.778
     558.60      23.582      23.582       0.000      23.582      26.100      21.583       4.517      26.100      11.793
     560.00      23.400      23.400       0.000      23.400      26.100      21.586       4.514      26.100      11.800
     562.80      23.148      23.148       0.000      23.148      26.044      21.547       4.497      26.044      11.800
     565.00      22.950      22.950       0.000      22.950      26.000      21.516       4.484      26.000      11.800
     568.50      22.635      22.635       0.000      22.635      25.860      21.409       4.451      25.860      11.800
     570.00      22.500      22.500       0.000      22.500      25.800      21.363       4.437      25.800      11.800
     572.30      22.477      22.477       0.000      22.477      25.662      21.254       4.408      25.662      11.800
     575.00      22.450      22.450       0.000      22.450      25.500      21.126       4.374      25.500      11.800
     580.00      22.400      22.400       0.000      22.400      24.800      20.558       4.242      24.800      11.800
     580.40      22.400      22.400       0.000      22.400      24.608      20.400       4.208      24.608      11.798
     584.00      22.400      22.400       0.000      22.400      22.880      18.975       3.905      22.880      11.780
     584.33      22.400      22.400       0.000      22.400      22.722      18.845       3.877      22.722      11.778
     585.00      22.400      22.400       0.000      22.400      22.400      18.579       3.821      22.400      11.775
     585.80      22.400      22.400       0.000      22.400      21.800      18.083       3.717      21.800      11.771
     588.90      22.400      22.400       0.000      22.400      19.300      16.117       3.183      19.300      11.755
     590.00      22.400      22.400       0.000      22.400      19.400      16.116       3.284      19.400      11.750
     592.40      22.443      22.443       0.000      22.443      20.805      17.087       3.717      20.805      11.738
     594.10      22.474      22.474       0.000      22.474      21.800      17.759       4.041      21.800      11.729
     595.00      22.490      22.490       0.000      22.490      23.800      19.983       3.817      23.800      11.725
     596.70      22.521      22.521       0.000      22.521      27.700      24.565       3.135      27.700      11.717
     599.60      22.573      22.573       0.000      22.573      28.491      25.539       2.952      28.491      11.702
     600.00      22.580      22.580       0.000      22.580      28.600      25.674       2.926      28.600      11.700
     604.30      22.675      22.675       0.000      22.675      30.100      26.624       2.573      29.197      11.743
     608.00      22.756      22.756       0.000      22.756      27.124      23.635       1.941      25.576      11.780
     608.40      22.765      22.765       0.000      22.765      26.802      23.315       1.879      25.194      11.784
     608.90      22.776      22.776       0.000      22.776      26.400      23.006       1.810      24.816      11.789
     609.00      22.778      22.778       0.000      22.778      26.595      23.184       1.815      24.999      11.790
     609.70      22.793      22.793       0.000      22.793      27.958      24.433       1.847      26.280      11.797
     609.76      22.795      22.795       0.000      22.795      28.075      24.540       1.850      26.390      11.798
     609.80      22.796      22.796       0.000      22.796      28.153      24.612       1.851      26.463      11.798
     610.00      22.800      22.800       0.000      22.800      28.542      24.970       1.859      26.830      11.800
     610.70      22.821      22.821       0.000      22.821      29.905      26.786       1.923      28.709      11.772
     610.80      22.824      22.824       0.000      22.824      30.100      26.970       1.926      28.896      11.768
     610.90      22.827      22.827       0.000      22.827      29.731      26.649       1.893      28.542      11.764
     611.00      22.830      22.830       0.000      22.830      29.363      26.401       1.866      28.267      11.760
     612.00      22.860      22.860       0.000      22.860      25.679      23.812       1.593      25.405      11.720
     612.40      22.872      22.872       0.000      22.872      24.205      22.719       1.486      24.205      11.704
     612.70      22.881      22.881       0.000      22.881      23.100      21.662       1.392      23.054      11.692
     613.00      22.890      22.890       0.000      22.890      27.000      25.295       1.597      26.892      11.680
     613.10      22.893      22.893       0.000      22.893      28.300      26.504       1.664      28.168      11.676
     614.00      22.920      22.920       0.000      22.920      28.429      26.548       1.578      28.125      11.640
     615.00      22.950      22.950       0.000      22.950      28.571      26.594       1.482      28.076      11.600
     615.20      22.956      22.956       0.000      22.956      28.600      26.603       1.463      28.066      11.595
     616.00      22.980      22.980       0.000      22.980      25.400      23.563       1.227      24.790      11.574
     616.30      22.989      22.989       0.000      22.989      24.200      22.427       1.143      23.571      11.567
     616.60      22.998      22.998       0.000      22.998      26.428      24.468       1.221      25.688      11.559
     616.90      23.007      23.007       0.000      23.007      28.657      26.504       1.293      27.798      11.551
     617.00      23.010      23.010       0.000      23.010      29.400      27.200       1.318      28.518      11.549
     617.10      23.013      23.013       0.000      23.013      30.143      27.897       1.341      29.238      11.546
