   Wavelength    N2 abs        N2+     N+ (from N2)  N2 ion      O2 abs        O2+     O+ (from O2)  O2 ion       N ion
      68.35       0.484       0.295       0.189       0.484       0.926       0.926       0.000       0.926       0.234
      68.90       0.495       0.302       0.193       0.495       0.943       0.943       0.000       0.943       0.238
      69.65       0.511       0.312       0.199       0.511       0.965       0.965       0.000       0.965       0.244
      70.00       0.518       0.316       0.202       0.518       0.975       0.975       0.000       0.975       0.247
      70.54       0.529       0.323       0.206       0.529       0.991       0.991       0.000       0.991       0.252
      70.75       0.534       0.326       0.208       0.534       0.997       0.997       0.000       0.997       0.254
      71.00       0.539       0.329       0.210       0.539       1.005       1.005       0.000       1.005       0.256
      71.94       0.559       0.341       0.217       0.559       1.033       1.033       0.000       1.033       0.264
      72.19       0.564       0.345       0.219       0.564       1.040       1.040       0.000       1.040       0.266
      72.31       0.566       0.346       0.220       0.566       1.044       1.044       0.000       1.044       0.267
      72.63       0.572       0.350       0.222       0.572       1.056       1.056       0.000       1.056       0.270
      72.80       0.575       0.351       0.223       0.575       1.062       1.062       0.000       1.062       0.271
      72.90       0.577       0.353       0.224       0.577       1.066       1.066       0.000       1.066       0.272
      72.95       0.578       0.353       0.224       0.578       1.067       1.067       0.000       1.067       0.272
      73.55       0.588       0.360       0.229       0.588       1.089       1.089       0.000       1.089       0.278
      74.21       0.600       0.367       0.233       0.600       1.113       1.113       0.000       1.113       0.284
      74.44       0.604       0.370       0.235       0.604       1.121       1.121       0.000       1.121       0.286
      74.83       0.611       0.374       0.237       0.611       1.135       1.135       0.000       1.135       0.289
      75.03       0.615       0.377       0.238       0.615       1.143       1.143       0.000       1.143       0.291
      75.29       0.620       0.379       0.240       0.620       1.152       1.152       0.000       1.152       0.293
      75.46       0.623       0.381       0.241       0.623       1.158       1.158       0.000       1.158       0.295
      75.73       0.628       0.384       0.243       0.628       1.168       1.168       0.000       1.168       0.297
      76.01       0.633       0.388       0.245       0.633       1.178       1.178       0.000       1.178       0.300
      76.48       0.641       0.393       0.248       0.641       1.195       1.195       0.000       1.195       0.304
      76.83       0.647       0.397       0.251       0.647       1.208       1.208       0.000       1.208       0.307
      76.94       0.649       0.398       0.251       0.649       1.212       1.212       0.000       1.212       0.308
      77.30       0.656       0.402       0.254       0.656       1.225       1.225       0.000       1.225       0.311
      77.50       0.659       0.404       0.255       0.659       1.232       1.232       0.000       1.232       0.313
      77.74       0.664       0.407       0.257       0.664       1.240       1.240       0.000       1.240       0.315
      78.56       0.678       0.416       0.262       0.678       1.270       1.270       0.000       1.270       0.323
      78.70       0.681       0.418       0.263       0.681       1.275       1.275       0.000       1.275       0.325
      79.08       0.688       0.422       0.266       0.688       1.289       1.289       0.000       1.289       0.328
      79.48       0.695       0.427       0.268       0.695       1.303       1.303       0.000       1.303       0.332
      79.76       0.700       0.430       0.270       0.700       1.313       1.313       0.000       1.313       0.335
      80.00       0.704       0.433       0.272       0.704       1.322       1.322       0.000       1.322       0.337
      80.21       0.708       0.435       0.273       0.708       1.330       1.330       0.000       1.330       0.339
      80.55       0.714       0.439       0.275       0.714       1.342       1.342       0.000       1.342       0.342
      80.94       0.721       0.443       0.278       0.721       1.356       1.356       0.000       1.356       0.346
      81.16       0.725       0.446       0.279       0.725       1.364       1.364       0.000       1.364       0.348
      81.58       0.733       0.450       0.282       0.733       1.379       1.379       0.000       1.379       0.352
      81.94       0.739       0.455       0.285       0.739       1.392       1.392       0.000       1.392       0.356
      82.10       0.742       0.456       0.286       0.742       1.398       1.398       0.000       1.398       0.357
      82.43       0.752       0.463       0.289       0.752       1.414       1.414       0.000       1.414       0.360
      82.67       0.760       0.467       0.292       0.760       1.426       1.426       0.000       1.426       0.363
