    10.00    11.00   1.950e+05   1.950e+05   1.950e+05   1.950e+05   1.950e+05   1.950e+05   1.950e+05   1.950e+05   1.950e+05   1.950e+05   1.950e+05   1.950e+05   1.950e+05   1.950e+05   1.950e+05   1.950e+05   1.950e+05   1.950e+05   1.950e+05   1.950e+05   1.950e+05   1.950e+05   1.950e+05   1.950e+05   1.950e+05   1.950e+05   1.950e+05   1.950e+05   1.950e+05   1.950e+05   1.950e+05   1.950e+05   1.950e+05   1.950e+05   1.950e+05   1.950e+05   1.950e+05   1.950e+05   1.950e+05   1.950e+05   1.950e+05   1.950e+05   1.950e+05   1.950e+05   1.950e+05   1.950e+05   1.950e+05   1.950e+05   1.950e+05   1.950e+05
    11.00    12.00   3.080e+05   3.080e+05   3.080e+05   3.080e+05   3.080e+05   3.080e+05   3.080e+05   3.080e+05   3.080e+05   3.080e+05   3.080e+05   3.080e+05   3.080e+05   3.080e+05   3.080e+05   3.080e+05   3.080e+05   3.080e+05   3.080e+05   3.080e+05   3.080e+05   3.080e+05   3.080e+05   3.080e+05   3.080e+05   3.080e+05   3.080e+05   3.080e+05   3.080e+05   3.080e+05   3.080e+05   3.080e+05   3.080e+05   3.080e+05   3.080e+05   3.080e+05   3.080e+05   3.080e+05   3.080e+05   3.080e+05   3.080e+05   3.080e+05   3.080e+05   3.080e+05   3.080e+05   3.080e+05   3.080e+05   3.080e+05   3.080e+05   3.080e+05
    12.00    13.00   6.274e+05   6.274e+05   6.274e+05   6.274e+05   6.274e+05   6.274e+05   6.274e+05   6.274e+05   6.274e+05   6.274e+05   6.274e+05   6.274e+05   6.274e+05   6.274e+05   6.274e+05   6.274e+05   6.274e+05   6.274e+05   6.274e+05   6.274e+05   6.274e+05   6.274e+05   6.274e+05   6.274e+05   6.274e+05   6.274e+05   6.274e+05   6.274e+05   6.274e+05   6.274e+05   6.274e+05   6.274e+05   6.274e+05   6.274e+05   6.274e+05   6.274e+05   6.274e+05   6.274e+05   6.274e+05   6.274e+05   6.274e+05   6.274e+05   6.274e+05   6.274e+05   6.274e+05   6.274e+05   6.274e+05   6.274e+05   6.274e+05   6.274e+05
    13.00    14.00   9.952e+05   9.952e+05   9.952e+05   9.952e+05   9.952e+05   9.952e+05   9.952e+05   9.952e+05   9.952e+05   9.952e+05   9.952e+05   9.952e+05   9.952e+05   9.952e+05   9.952e+05   9.952e+05   9.952e+05   9.952e+05   9.952e+05   9.952e+05   9.952e+05   9.952e+05   9.952e+05   9.952e+05   9.952e+05   9.952e+05   9.952e+05   9.952e+05   9.952e+05   9.952e+05   9.952e+05   9.952e+05   9.952e+05   9.952e+05   9.952e+05   9.952e+05   9.952e+05   9.952e+05   9.952e+05   9.952e+05   9.952e+05   9.952e+05   9.952e+05   9.952e+05   9.952e+05   9.952e+05   9.952e+05   9.952e+05   9.952e+05   9.952e+05
    14.00    15.00   1.307e+06   1.307e+06   1.307e+06   1.307e+06   1.307e+06   1.307e+06   1.307e+06   1.307e+06   1.307e+06   1.307e+06   1.307e+06   1.307e+06   1.307e+06   1.307e+06   1.307e+06   1.307e+06   1.307e+06   1.307e+06   1.307e+06   1.307e+06   1.307e+06   1.307e+06   1.307e+06   1.307e+06   1.307e+06   1.307e+06   1.307e+06   1.307e+06   1.307e+06   1.307e+06   1.307e+06   1.307e+06   1.307e+06   1.307e+06   1.307e+06   1.307e+06   1.307e+06   1.307e+06   1.307e+06   1.307e+06   1.307e+06   1.307e+06   1.307e+06   1.307e+06   1.307e+06   1.307e+06   1.307e+06   1.307e+06   1.307e+06   1.307e+06
    15.00    16.00   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06
    16.00    17.00   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06   2.814e+06
    17.00    18.00   2.855e+06   2.855e+06   2.855e+06   2.855e+06   2.855e+06   2.855e+06   2.855e+06   2.855e+06   2.855e+06   2.855e+06   2.855e+06   2.855e+06   2.855e+06   2.855e+06   2.855e+06   2.855e+06   2.855e+06   2.855e+06   2.855e+06   2.855e+06   2.855e+06   2.855e+06   2.855e+06   2.855e+06   2.855e+06   2.855e+06   2.855e+06   2.855e+06   2.855e+06   2.855e+06   2.855e+06   2.855e+06   2.855e+06   2.855e+06   2.855e+06   2.855e+06   2.855e+06   2.855e+06   2.855e+06   2.855e+06   2.855e+06   2.855e+06   2.855e+06   2.855e+06   2.855e+06   2.855e+06   2.855e+06   2.855e+06   2.855e+06   2.855e+06
    18.00    19.00   3.149e+06   3.149e+06   3.149e+06   3.149e+06   3.149e+06   3.149e+06   3.149e+06   3.149e+06   3.149e+06   3.149e+06   3.149e+06   3.149e+06   3.149e+06   3.149e+06   3.149e+06   3.149e+06   3.149e+06   3.149e+06   3.149e+06   3.149e+06   3.149e+06   3.149e+06   3.149e+06   3.149e+06   3.149e+06   3.149e+06   3.149e+06   3.149e+06   3.149e+06   3.149e+06   3.149e+06   3.149e+06   3.149e+06   3.149e+06   3.149e+06   3.149e+06   3.149e+06   3.149e+06   3.149e+06   3.149e+06   3.149e+06   3.149e+06   3.149e+06   3.149e+06   3.149e+06   3.149e+06   3.149e+06   3.149e+06   3.149e+06   3.149e+06
    19.00    20.00   1.115e+06   1.115e+06   1.115e+06   1.115e+06   1.115e+06   1.115e+06   1.115e+06   1.115e+06   1.115e+06   1.115e+06   1.115e+06   1.115e+06   1.115e+06   1.115e+06   1.115e+06   1.115e+06   1.115e+06   1.115e+06   1.115e+06   1.115e+06   1.115e+06   1.115e+06   1.115e+06   1.115e+06   1.115e+06   1.115e+06   1.115e+06   1.115e+06   1.115e+06   1.115e+06   1.115e+06   1.115e+06   1.115e+06   1.115e+06   1.115e+06   1.115e+06   1.115e+06   1.115e+06   1.115e+06   1.115e+06   1.115e+06   1.115e+06   1.115e+06   1.115e+06   1.115e+06   1.115e+06   1.115e+06   1.115e+06   1.115e+06   1.115e+06
