   96.05     8.2 FE X      2  0.015909
   96.49     1.9 UNSPEC'D  1  0.830009
   96.83     2.7 FE X      2  0.015909
   97.12     5.2 FE X      2  0.015909
   97.51     3.0 BLEND     1  0.830009
   97.87     2.3 FE X      2  0.015909
   98.12     2.7 NE VIII   2  0.022000
   98.26     2.7 NE VIII   2  0.022000
   98.50     2.6 UNSPEC'D  1  0.830009
   99.71     2.0 UNSPEC'D  1  0.830009
   99.99     2.7 UNSPEC'D  1  0.830009
  100.54     8.4 UNSPEC'D  1  0.830009
  103.01     1.5 NE VIII   2  0.022000
  103.15     0.1 NE VII    2  0.012600
  103.58     6.1 FE IX     2  0.011509
  103.94     6.1 UNSPEC'D  1  0.830009
  105.23     5.1 FE IX     2  0.011509
  106.25     2.0 NE VII    2  0.012600
  108.05     1.5 FE VIII   1  0.415009
  109.98     0.1 NE VII    2  0.012600
  110.56     0.1 NE VII    2  0.012600
  110.62     0.1 NE VII    2  0.012600
  110.76     1.5 UNSPEC'D  1  0.830009
  111.16     0.1 NE VI     1  0.481009
  111.25     4.8 UNSPEC'D  1  0.830009
  113.80     3.0 UNSPEC'D  1  0.830009
  114.09     2.6 UNSPEC'D  1  0.830009
  114.24     0.1 NE VI     1  0.481009
  115.39     0.1 NE VII    2  0.012600
  115.82     2.4 UNSPEC'D  1  0.830009
  116.75     3.9 UNSPEC'D  1  0.830009
  117.20     2.6 UNSPEC'D  1  0.830009
  120.40     0.1 NE VII    2  0.012600
  121.15     0.1 NE VI     1  0.481009
  121.79     1.1 UNSPEC'D  1  0.830009
  122.70     4.1 NE VI     1  0.481009
  123.50     2.6 UNSPEC'D  1  0.830009
  127.65     4.5 UNSPEC'D  1  0.830009
  129.87     3.4  O VI     1  1.041009
  130.30     0.1 NE VI     1  0.481009
  131.02     5.2 BLEND     1  0.830009
  131.21     4.8 BLEND     1  0.830009
  136.21     0.1 NE VI     1  0.481009
  136.28     0.1 NE VI     1  0.481009
  136.34     0.1 NE VI     1  0.481009
  136.45     0.1 NE VI     1  0.481009
  136.48     0.1 NE VI     1  0.481009
  141.20    11.3 UNSPEC'D  1  0.830009
  144.27     1.1 NI X      2  0.012800
  145.04    14.1 NI X      2  0.012800
  148.40    29.4 NI XI     2  0.025000
  150.10     7.6  O VI     1  1.041009
  152.15    13.1 NI XII    2  0.070000
  154.18     6.9 NI XII    2  0.070000
  157.73     6.2 NI XIII   2  0.120000
  158.37    14.2 NI X      2  0.012800
  159.98    13.0 NI X      2  0.012800
  160.37    11.0 UNSPEC'D  1  0.830009
  162.00     5.5 UNSPEC'D  1  0.830009
  164.15     3.7 NI XIV    2  0.200000
  167.50    19.5 FE VIII   1  0.415009
  168.17    36.0 FE VIII   1  0.415009
  168.55    20.5 FE VIII   1  0.415009
  168.92    12.6 FE VIII   1  0.415009
  169.70    23.4 UNSPEC'D  1  0.830009
  171.08   307.5 FE IX     2  0.011509
  172.17    11.2  O V      1  0.473009
  173.08    21.4 BLEND     1  0.830009
  174.58   268.8 FE X      2  0.015909
  175.26    33.1 BLEND     1  0.830009
  177.24   162.5 FE X      2  0.015909
  178.05    20.5 FE XI     2  0.026409
  179.27     0.4 NI XV     2  0.300000
  179.75    20.6 FE XI     2  0.026409
  180.41   179.0 FE XI     2  0.026409
  181.14    21.2 FE XI     2  0.026409
  182.17    23.1 FE XI     2  0.026409
  183.45     1.5 CA XIV    2  0.150000
  184.53    43.8 FE X      2  0.015909
  184.80     2.3 FE XI     2  0.026409
  185.21    18.2 FE VIII B 1  0.415009
  186.60     3.2 CA XIV    2  0.150000
  186.87    23.1  S XI   B 2  0.030000
  187.95     0.7 AR XIV    2  0.400000
  188.23     9.7 FE XII    2  0.050409
  188.31   120.0 FE XI     2  0.026409
  190.02    42.3 FE X      2  0.015909
  191.04    10.5 FE XII    2  0.050409
  191.34     9.0 FE XIII B 2  0.088109
  192.40    40.0 FE XII    2  0.050409
  192.82    58.8 FE XI     2  0.026409
  193.52    65.5 FE XII    2  0.050409
  195.13   107.0 FE XII    2  0.050409
  196.52     9.7 FE XIII   2  0.088109
  196.65     2.9 FE XII    2  0.050409
  197.44     4.0 FE XIII   2  0.088109
  198.58     7.1 FE XII  B 2  0.050409
  200.02    15.0 FE XIII   2  0.088109
  201.13    25.5 FE XIII B 2  0.088109
  202.05    39.5 FE XIII   2  0.088109
  202.64    22.1 BLEND     1  0.830009
  203.81    19.5 FE XIII   2  0.088109
  204.25     7.2 FE XIII   2  0.088109
  204.94     4.9 FE XIII   2  0.088109
  206.26     1.5 UNSPEC'D  1  0.830009
  206.38     1.5 UNSPEC'D  1  0.830009
  207.46     1.5 UNSPEC'D  1  0.830009
  208.33     1.8  S X    B 2  0.025000
  209.63     0.9 FE XIII   2  0.088109
  209.78     1.1 UNSPEC'D  1  0.830009
  211.32    27.4 FE XIV    2  0.150009
  212.14     8.0  S XII    2  0.070000
  213.78     2.5 FE XIII   2  0.088109
  214.75     4.3 SI VIII   2  0.015800
  215.16    14.5  S XII    2  0.070000
  216.88    10.0 SI VIII B 2  0.015800
  218.19    18.5  S XII    2  0.070000
  219.13     7.2 FE XIV    2  0.150009
  220.08    10.3 FE XIV    2  0.150009
  221.44    17.8  S XII    2  0.070000
  221.82     0.9 FE XIII   2  0.088109
  224.74    41.7  S IX   B 2  0.015000
  225.12    76.5 BLEND     1  0.830009
  227.01    41.5 SI IX     2  0.016000
  227.19     0.2 FE XV     2  0.408009
  227.47    29.5  S XII    2  0.050000
  228.70    20.4  S X      2  0.020000
  230.65    13.0 HE II     1  0.415009
  231.55    15.8 HE II     1  0.415009
  232.60    23.0 HE II     1  0.415009
  233.84     3.6 FE XV     2  0.408009
  234.38    33.1 BLEND     1  0.830009
  237.12     3.9 FE XII    2  0.050400
  237.20     0.2 SI XIV    2  1.500000
  237.33    19.3 HE II     1  0.370000
  239.87    20.0  S XI     2  0.030000
  240.71    16.7 FE XIII   2  0.088109
  241.74    89.4 FE IX     2  0.011509
  243.03    87.0 HE II     1  0.370000
  243.78     5.7 FE XV     2  0.408009
  244.92    58.0 FE IX     2  0.011509
  245.94     1.0 BLEND     1  0.830009
  246.21    22.8 FE XIII   2  0.088109
  246.91    11.7 BLEND     1  0.830009
  247.18    24.9 BLEND     1  0.830009
  249.18     1.2 NI XVII   2  0.900009
  251.10     0.8 FE XVI    2  1.000009
  251.95    22.8 FE XIII   2  0.088109
  252.19    16.0 FE XIV    2  0.150009
  253.78    16.5 SI X      2  0.035000
  256.32   235.0 HE II     1  0.370000
  256.38    36.3 SI X      2  0.035000
  256.64    15.0  S XIII   2  0.120000
  256.92     2.5 FE XV     2  0.408009
  257.16    65.7  S X    B 2  0.025000
  257.39    17.9 FE XIV  B 2  0.150009
  258.36    85.0 SI X      2  0.035000
  259.52    36.2  S X      2  0.025000
  261.05    42.0 SI X      2  0.035000
  262.99     2.0 FE XVI    2  1.000009
  264.24    31.2  S X      2  0.025000
  264.80    30.0 FE XIV    2  0.150009
  270.51    25.0 FE XIV    2  0.150009
  271.99    45.6 SI X      2  0.035000
  272.64     8.8 SI VII    2  0.014000
  274.19    50.0 FE XIV    2  0.150009
  275.35    21.5 SI VII    2  0.014000
  275.67    17.9 SI VII    2  0.014000
  276.15     6.1 MG VII    2  0.008760
  276.84     7.5 BLEND     1  0.830009
  277.00     3.0 BLEND     1  0.830009
  277.27    63.0 BLEND     1  0.830009
  278.40    24.1 MG VII  B 2  0.008760
  281.41    10.5  S XI     2  0.030000
  284.15   100.0 FE XV     2  0.408009
  285.70    14.4  S XI   G 2  0.030000
  289.17    11.8 FE XIV    2  0.150009
  290.69    30.0 SI IX     2  0.024000
  291.70    15.0  S XI   G 2  0.030000
  292.78    44.0 SI IX     2  0.024000
  296.19    50.0 SI IX     2  0.024000
  299.50     8.7  S XII    2  0.070000
  303.31   235.0 SI XI     2  0.120000
  303.78  6000.0 HE II     1  0.370000
  315.02   133.5 MG VIII   2  0.009640
  316.20   112.5 SI VIII   2  0.015800
  319.01    17.5 NI XV     2  0.300000
  319.83   146.3 SI VIII   2  0.015800
  320.56     4.7 NI XVIIIB 2  1.100000
  335.41    34.0 FE XVI    2  1.000009
  345.13    96.3 SI IX     2  0.024000
  345.74    84.0 FE X      2  0.015909
  347.39   141.0 SI X      2  0.035000
  349.85    96.3 SI IX     2  0.024000
  356.01   103.4 SI X      2  0.035000
  360.80    17.5 FE XVI    2  1.000009
  364.48    75.6 FE XII    2  0.050409
  368.07   739.4 MG IX     2  0.011040
  399.82    15.6 NE VI     1  0.481009
  401.14    34.5 NE VI     1  0.481009
  401.94    91.2 NE VI     1  0.481009
  403.26    53.4 NE VI     1  0.481009
  417.24     8.8 FE XV     2  0.408009
  430.47    82.3 MG VIII   2  0.009640
  436.70   122.4 MG VIII   2  0.009640
  453.00     1.3 HE I (C)  1  0.830009
  454.00     1.3 HE I (C)  1  0.830009
  455.00     1.3 HE I (C)  1  0.830009
  456.00     1.3 HE I (C)  1  0.830009
  457.00     1.3 HE I (C)  1  0.830009
  458.00     1.3 HE I (C)  1  0.830009
  459.00     1.3 HE I (C)  1  0.830009
  460.00     1.6 HE I (C)  1  0.830009
  461.00     1.6 HE I (C)  1  0.830009
  462.00     1.6 HE I (C)  1  0.830009
  463.00     1.6 HE I (C)  1  0.830009
  464.00     1.6 HE I (C)  1  0.830009
  465.00     2.0 HE I (C)  1  0.830009
  465.22   180.9 NE VII    2  0.012600
  466.00     2.0 HE I (C)  1  0.830009
  467.00     2.0 HE I (C)  1  0.830009
  468.00     2.5 HE I (C)  1  0.830009
  469.00     2.5 HE I (C)  1  0.830009
  470.00     2.5 HE I (C)  1  0.830009
  471.00     2.5 HE I (C)  1  0.830009
  472.00     2.9 HE I (C)  1  0.830009
  473.00     2.9 HE I (C)  1  0.830009
  474.00     3.3 HE I (C)  1  0.830009
  475.00     3.3 HE I (C)  1  0.830009
  476.00     3.3 HE I (C)  1  0.830009
  477.00     3.8 HE I (C)  1  0.830009
  478.00     3.8 HE I (C)  1  0.830009
  479.00     4.1 HE I (C)  1  0.830009
  480.00     4.1 HE I (C)  1  0.830009
  481.00     4.5 HE I (C)  1  0.830009
  482.00     4.5 HE I (C)  1  0.830009
  483.00     5.0 HE I (C)  1  0.830009
  484.00     5.4 HE I (C)  1  0.830009
  485.00     5.4 HE I (C)  1  0.830009
  486.00     5.8 HE I (C)  1  0.830009
  487.00     6.1 HE I (C)  1  0.830009
  488.00     6.6 HE I (C)  1  0.830009
  489.00     6.6 HE I (C)  1  0.830009
  489.50    11.0 NE III    1  0.326009
  490.00     7.0 HE I (C)  1  0.830009
  491.00     7.4 HE I (C)  1  0.830009
  492.00     7.9 HE I (C)  1  0.830009
  493.00     8.3 HE I (C)  1  0.830009
  494.00     8.6 HE I (C)  1  0.830009
  495.00     9.5 HE I (C)  1  0.830009
  496.00     9.9 HE I (C)  1  0.830009
  497.00    10.4 HE I (C)  1  0.830009
  498.00    10.8 HE I (C)  1  0.830009
  499.00    11.5 HE I (C)  1  0.830009
  499.37    77.5 SI XII    2  0.150000
  500.00    12.0 HE I (C)  1  0.830009
  501.00    12.7 HE I (C)  1  0.830009
  502.00    13.3 HE I (C)  1  0.830009
  503.00    14.0 HE I (C)  1  0.830009
  504.00    14.9 HE I (C)  1  0.830009
  507.93    76.5  O III  G 1  0.415009
  515.60    33.5 HE I-3    1  0.730009
  520.66    35.6 SI XII    2  0.150000
  525.80    75.6  O III    1  0.415009
  537.02   186.0 HE I-2    1  0.730009
  542.80    23.2 NE IV     1  0.330009
  550.00    23.2 AL XI     1  0.581009
  554.37   799.2  O IV   G 1  0.460009
  558.60    61.5 NE VI     1  0.481009
  562.80    81.9 NE VI     1  0.481009
  568.50    51.7 BLEND     1  0.830009
  572.30    68.9 BLEND     1  0.830009
  580.40    11.1  O II     1  0.415009
  584.33  1580.0 HE I      1  0.988009
  592.40    19.2 UNSPEC'D  1  0.830009
  599.60   190.0  O III    1  0.415009
  609.76   450.0 MG X      2  0.028009
  616.60    16.7  O II     1  0.415009
  624.93   100.0 MG X      2  0.033009
  629.73  1500.0  O V      1  0.473009
  638.50    24.9 UNSPEC'D  1  0.830009
  640.41     5.9  S II     1  0.415009
  640.93     7.0  S II     1  0.415009
  641.81     9.2  S II     1  0.415009
  644.10    10.9  O II     1  0.415009
  650.30    15.6 UNSPEC'D  1  0.830009
  657.30     6.2  S IV     1  0.415009
  661.40     6.2  S IV     1  0.415009
  671.50    10.6  N II     1  0.498009
  681.70    37.9 NA IX     2  0.009000
  685.71   101.3  N III  G 1  0.523009
  690.80    20.9 UNSPEC'D  1  0.830009
  694.30    22.6 NA IX     2  0.009000
  700.00     1.0  H LY(C)  1  1.000009
  701.00     1.0  H LY(C)  1  1.000009
  702.00     1.0  H LY(C)  1  1.000009
  703.00     1.1  H LY(C)  1  1.000009
  703.31   391.5  O III  G 1  0.415009
  704.00     1.1  H LY(C)  1  1.000009
  705.00     1.1  H LY(C)  1  1.000009
  706.00     1.1  H LY(C)  1  1.000009
  707.00     1.1  H LY(C)  1  1.000009
  708.00     1.1  H LY(C)  1  1.000009
  709.00     1.1  H LY(C)  1  1.000009
  710.00     1.3  H LY(C)  1  1.000009
  711.00     1.3  H LY(C)  1  1.000009
  712.00     1.3  H LY(C)  1  1.000009
  712.70    12.4  S VI     1  0.498009
  713.00     1.4  H LY(C)  1  1.000009
  714.00     1.4  H LY(C)  1  1.000009
  715.00     1.5  H LY(C)  1  1.000009
  716.00     1.5  H LY(C)  1  1.000009
  717.00     1.5  H LY(C)  1  1.000009
  718.00     1.7  H LY(C)  1  1.000009
  718.50    53.1  O II     1  0.415009
  719.00     1.7  H LY(C)  1  1.000009
  720.00     1.7  H LY(C)  1  1.000009
  721.00     1.7  H LY(C)  1  1.000009
  722.00     1.8  H LY(C)  1  1.000009
  723.00     1.8  H LY(C)  1  1.000009
  724.00     1.9  H LY(C)  1  1.000009
  725.00     1.9  H LY(C)  1  1.000009
  726.00     1.9  H LY(C)  1  1.000009
  727.00     1.9  H LY(C)  1  1.000009
  728.00     2.0  H LY(C)  1  1.000009
  729.00     2.0  H LY(C)  1  1.000009
  730.00     2.2  H LY(C)  1  1.000009
  731.00     2.2  H LY(C)  1  1.000009
  732.00     2.2  H LY(C)  1  1.000009
  733.00     2.4  H LY(C)  1  1.000009
  734.00     2.4  H LY(C)  1  1.000009
  735.00     2.4  H LY(C)  1  1.000009
  736.00     2.5  H LY(C)  1  1.000009
  737.00     2.5  H LY(C)  1  1.000009
  738.00     2.7  H LY(C)  1  1.000009
  739.00     2.7  H LY(C)  1  1.000009
  740.00     2.7  H LY(C)  1  1.000009
  741.00     2.8  H LY(C)  1  1.000009
  742.00     2.9  H LY(C)  1  1.000009
