Lamda (A)    ABS_N(megabarns)    ABS_N2(megabarns)
      5.74133   0.00881640    0.0176328
      5.83419   0.00923868    0.0184774
      5.92854   0.00968045    0.0193609
      6.02444    0.0101429    0.0202858
      6.12186    0.0106265    0.0212531
      6.22090    0.0111260    0.0222520
      6.32151    0.0116532    0.0233064
      6.42377    0.0122055    0.0244109
      6.52767    0.0127839    0.0255679
      6.63325    0.0133898    0.0267796
      6.74053    0.0140243    0.0280486
      6.84953    0.0146888    0.0293776
      6.96032    0.0153850    0.0307699
      7.07289    0.0161122    0.0322245
      7.18729    0.0168714    0.0337428
      7.30355    0.0176585    0.0353169
      7.42169    0.0184823    0.0369646
      7.54173    0.0193445    0.0386891
      7.66368    0.0202470    0.0404940
      7.78764    0.0211916    0.0423831
      7.91360    0.0221801    0.0443602
      8.04162    0.0232143    0.0464286
      8.17169    0.0242978    0.0485956
      8.30386    0.0254312    0.0508624
      8.43815    0.0266080    0.0532161
      8.57465    0.0278386    0.0556771
      8.71331    0.0291249    0.0582499
      8.85426    0.0304694    0.0609389
      8.99749    0.0318776    0.0637551
      9.14300    0.0333514    0.0667028
      9.29086    0.0348914    0.0697828
      9.44113    0.0365031    0.0730062
      9.59382    0.0381893    0.0763786
      9.74900    0.0399529    0.0799058
      9.90675    0.0417756    0.0835511
      10.0670    0.0436621    0.0873241
      10.2298    0.0456151    0.0912303
      10.3953    0.0476557    0.0953114
      10.5634    0.0497875    0.0995749
      10.7342    0.0520145     0.104029
      10.9079    0.0543423     0.108685
      11.0843    0.0567742     0.113548
      11.2635    0.0593145     0.118629
      11.4457    0.0619680     0.123936
      11.6308    0.0647394     0.129479
      11.8190    0.0676355     0.135271
      12.0102    0.0706256     0.141251
      12.2044    0.0737138     0.147428
      12.4018    0.0769571     0.153914
      12.6024    0.0803447     0.160689
      12.8062    0.0838831     0.167766
      13.0133    0.0875772     0.175154
      13.2238    0.0914226     0.182845
      13.4377    0.0954239     0.190848
      13.6550    0.0995408     0.199082
      13.8759     0.103836     0.207673
      14.1003     0.108319     0.216637
      14.3284     0.112993     0.225986
      14.5602     0.117896     0.235792
      14.7957     0.123044     0.246089
      15.0350     0.128449     0.256897
      15.2781     0.134090     0.268180
      15.5253     0.139980     0.279960
      15.7764     0.146128     0.292256
      16.0315     0.152473     0.304946
      16.2908     0.158939     0.317877
      16.5543     0.165584     0.331168
      16.8221     0.172505     0.345011
      17.0942     0.179718     0.359435
      17.3706     0.187232     0.374463
      17.6516     0.195059     0.390118
      17.9371     0.203215     0.406430
      18.2272     0.211710     0.423420
      18.5220     0.220561     0.441123
      18.8216     0.229783     0.459565
      19.1260     0.239389     0.478778
      19.4354     0.249398     0.498797
      19.7497     0.259824     0.519649
      20.0692     0.270688     0.541376
      20.3938     0.282004     0.564007
      20.7236     0.293794     0.587589
      21.0588     0.306077     0.612153
      21.3994     0.318874     0.637748
      21.7456     0.332205     0.664410
      22.0973     0.345548     0.691096
      22.4547     0.358626     0.717251
      22.8179     0.372197     0.744394
      23.1869     0.386282     0.772565
      23.5620     0.400902     0.801803
      23.9431     0.416073     0.832146
      24.3303     0.431819     0.863637
      24.7239     0.448160     0.896320
      25.1237     0.465120     0.930240
      25.5301     0.482723     0.965445
      25.9430     0.500991      1.00198
      26.3626     0.519950      1.03990
      26.7890     0.539627      1.07925
      27.2223     0.560049      1.12010
      27.6626     0.581245      1.16249
      28.1101     0.603241      1.20648
      28.5647     0.626070      1.25214
      29.0267     0.649762      1.29952
      29.4962     0.674351      1.34870
      29.9733     0.699873      1.39975
      30.2390     0.714322      1.42864
      30.2538    0.0267557    0.0535115
      30.4580    0.0273363    0.0546727
      30.9507    0.0287717    0.0575434
      31.4513    0.0302824    0.0605647
      31.9600    0.0318724    0.0637448
      32.4769    0.0335459    0.0670919
      33.0022    0.0353071    0.0706143
      33.5360    0.0371610    0.0743221
      34.0784    0.0391122    0.0782245
      34.6296    0.0411901    0.0823802
      35.1897    0.0433804    0.0867608
      35.7589    0.0456875    0.0913750
      36.3373    0.0481173    0.0962346
      36.9250    0.0506760     0.101352
      37.5222    0.0533709     0.106742
      38.1292    0.0562093     0.112419
      38.7458    0.0591986     0.118397
      39.3725    0.0623466     0.124693
      40.0093    0.0653986     0.130797
      40.6565    0.0681959     0.136392
      41.3140    0.0711126     0.142225
      41.9823    0.0741546     0.148309
      42.6613    0.0773261     0.154652
      43.3513    0.0806339     0.161268
      44.0525    0.0840826     0.168165
      44.7651    0.0876793     0.175359
      45.4891    0.0914296     0.182859
      46.2248    0.0953403     0.190681
      46.9724    0.0994182     0.198836
      47.7322     0.103671     0.207341
      48.5042     0.108105     0.216209
      49.2888     0.112729     0.225457
      50.0858     0.117550     0.235101
      50.8960     0.122578     0.245157
      51.7193     0.127822     0.255644
      52.5557     0.133289     0.266577
